,session,participant,TrialNumber,topOri,topColor,redOpacity,ran,order,keyDur,keyRT,keyName
0,1,LL,1,135,red,0.5,1.0,0.0,"[4.202029399981257, 1.6869294000207447, 0.2638605000101961, 0.8616638999956194, 0.2595131999987643, 0.8485282000037841, 0.2064579999714624, 1.3424769999983255, 2.177292699983809, 1.2466354999924079, 1.3451784999924712, 2.3151064999983646, 2.949005300004501, 7.761042300000554, 0.7971744000096805, 1.0077581999939866, 1.38273450001725, 3.1799031000118703, 3.4177478000056, 3.729410600004485, 2.0339076000091154, 3.9365010999899823, 1.8412143999885302, 2.7782016999844927, 1.7451475000125356, 0.6734398000116926, 1.2649359999923036, 2.728389199997764, 1.0820334999880288, 1.918971999984933, 2.743784799997229, 1.5008495000074618, 1.4092585000034887, 2.027633200021228, 1.4510015999840107, 1.547505700000329, 0.40452760001062416, 0.7005095000204165, 0.7697181999974418, 2.727230700023938, 1.0135216999915428, 1.0477018000092357, 1.24682039997424, 0.7675292000058107, 1.3711597999790683, 1.280332800000906, 1.1488174000114668, 1.41487059998326, 1.5662983999936841]","[0.6915330000047106, 4.934352999989642, 6.766517699987162, 7.108066699991468, 8.071814800001448, 8.52644099999452, 9.39402050001081, 9.790321200009203, 11.693867499998305, 14.448740199994063, 16.416626099991845, 18.082722299994202, 20.426851900003385, 23.44341129998793, 31.971734599996125, 32.7982209000038, 33.83209789998364, 35.54200399998808, 38.72791220000363, 42.141183400002774, 45.94413920000079, 47.9299514000013, 51.861487899994245, 53.72300399999949, 56.58353219999117, 59.41205009998521, 60.25358970000525, 61.583018100005575, 64.48507439999958, 66.48984080000082, 68.39353400000255, 71.21723139999085, 72.77872199998819, 74.19626649998827, 76.28787840000587, 78.38144920000923, 80.36266049998812, 81.09691269998439, 82.77916350000305, 83.93009079998592, 86.86523510000552, 89.83120529999724, 90.95832040000823, 92.49254259999725, 93.2751702000096, 94.80999259999953, 96.16918019999866, 97.29142930000671, 98.75499069999205]","['right', 'left', 'space', 'right', 'space', 'left', 'space', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'right', 'left', 'left', 'right', 'left', 'right', 'left', 'right']"
1,1,LL,2,45,red,0.5,1.0,1.0,"[2.032467799988808, 0.985603799985256, 1.0955149999936111, 0.8359530000016093, 1.0409713999833912, 1.690904999995837, 0.9968085000000428, 1.3829802999971434, 0.8474174000148196, 1.4738159000116866, 1.1545343000034336, 2.023815900000045, 1.311469100008253, 1.8130223999905866, 1.1857913999992888, 2.6939102000033017, 1.132679400005145, 2.444417299993802, 4.69486990000587, 1.2337903000006918, 0.27098269999260083, 0.8889473999734037, 1.4628224000043701, 1.1900910999975167, 1.1147777999867685, 0.45448190000024624, 0.4516323999851011, 0.6959760999889113, 0.7587841999775264, 0.9228423000022303, 1.1067013000138104, 0.6001003999845125, 0.6118848000187427, 2.541121899994323, 1.8779425999964587, 2.495724300009897, 1.1415450999920722, 1.8831710000231396, 2.3195727999845985, 2.283247899991693, 1.390538400009973, 1.1635313000006136, 2.446429100004025, 1.0285281999967992, 0.753011199994944, 1.4017766000179108, 1.794488099985756, 1.0597922000160906, 4.299902300001122, 3.1472743000194896, 1.7310585000086576, 1.7436281999980565, 1.8478762000158895, 1.0219878999923822, 1.042978299985407, 1.081123200012371, 0.9111123000038788, 0.7037643000076059, 0.8249641000002157, 0.642930299974978, 0.37359939998714253, 0.45213580000563525, 1.105117600003723]","[0.7078898000181653, 2.9669909000222106, 3.9788854000216816, 5.704754700011108, 6.756514900014736, 7.831203600013396, 9.517602600011742, 11.278560100006871, 12.71691170000122, 13.537399799999548, 15.046718099998543, 16.19310270002461, 18.25577930000145, 19.544507000013255, 21.443803800008027, 22.933649500017054, 26.453186800004914, 27.563473300018813, 30.00355870000203, 34.685129999998026, 36.342920000024606, 36.6740377000242, 39.11826160000055, 40.74659200001042, 41.98558980002417, 43.424858600017615, 44.25146720002522, 44.89183060001233, 45.658129800023744, 46.67299250001088, 47.95719529999769, 49.17127070002607, 51.18519119999837, 52.00151890001143, 54.6421965000045, 56.49392480001552, 59.08980740001425, 60.22683770000003, 62.11681530001806, 64.42077150000841, 66.68017810001038, 68.04787570002372, 69.1789390000049, 71.59914920001756, 72.91668280001613, 73.66519490000792, 75.05299990001367, 77.36016720000771, 78.41015660000267, 82.70628240000224, 85.89890870000818, 87.61650250002276, 89.35152920000837, 91.18731180002214, 92.25484950002283, 93.2635772000067, 94.34004440001445, 95.41758320000372, 96.38366250001127, 97.73229140002513, 98.44527760002529, 98.83329780001077, 99.27521570000681]","['right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'space', 'left', 'space', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']"
2,1,LL,3,135,red,0.5,1.0,2.0,"[3.4050025999895297, 0.3478854999993928, 0.8198323000106029, 1.5663915000041015, 0.34493799999472685, 1.1399999000132084, 0.6884324999991804, 0.43632599999546073, 1.382155800005421, 0.18744380000862293, 1.2315039999957662, 3.5643566000217106, 2.3774502000014763, 0.16818059998331591, 0.6846006000123452, 0.6068550999916624, 1.4539457999926526, 1.3353178999968804, 0.783266399987042, 0.8239631000033114, 0.9474096999911126, 1.0755748999945354, 1.7044064000074286, 3.8814739999943413, 1.6384375999914482, 0.6511495999875478, 3.125381300022127, 2.0663541999820154, 4.033538200019393, 2.136567199981073, 4.885708699992392, 2.6797007000132, 1.230075699975714, 1.2288040999846999, 2.020718899992062, 1.2742460999870673, 1.6999970999895595, 3.4053882000152953, 1.9179069999954663, 0.9236358999914955, 2.008055599988438, 0.4537611000123434, 0.9073350999969989, 0.9104772999999113, 0.3353149000031408, 0.8116315999941435, 0.384975699998904, 0.28428389999317005, 0.4058101999980863, 0.10914029998821206, 0.9316576000128407, 1.752554800012149, 1.5918051000044215, 0.3889082999958191, 0.8656288999773096, 1.2574978000193369, 0.7370051000034437, 0.2360194000066258, 0.9539440000080504, 0.41724640000029467, 1.2881193999783136, 1.4451389999885578, 0.121705400000792, 1.1007829000009224, 2.164269400003832, 0.07288719998905435, 0.3211394000099972, 1.040173900022637, 0.2671013999788556, 0.09679209999740124]","[0.6435196000093129, 4.168904799997108, 5.2713120999978855, 6.47509490000084, 8.45155130000785, 8.880808199988678, 10.341601099993568, 11.246773399994709, 11.806951899983687, 13.363778400002047, 13.617670500010718, 14.915100099984556, 18.466458799986867, 21.034798400010914, 21.541992899990873, 22.711684200010495, 23.589506399992388, 25.740728900011163, 27.097890000004554, 28.014649199991254, 28.831538099999307, 29.769462800002657, 30.864635999983875, 32.60276380000869, 36.56754640000872, 38.24218830000609, 39.1000240999856, 42.34696980001172, 44.59024409999256, 48.66334500000812, 50.79520180000691, 55.68872989999363, 58.33411920000799, 59.53911730000982, 60.76277140001184, 62.83977489999961, 64.242055300012, 65.95107969999663, 69.3298863999953, 71.21673640000517, 72.49718050000956, 74.71029519999865, 75.25928090000525, 76.17736460000742, 77.07887450000271, 77.5028808999923, 78.30254040000727, 79.12623100000201, 79.88412070000777, 80.51236570000765, 80.96232109999983, 82.00010869998368, 83.73691149998922, 85.30609510000795, 85.75747380001121, 86.61531299998751, 88.08646029999363, 88.8485512000043, 89.19190710000112, 90.11651809999603, 90.54368810000597, 91.82339740000316, 93.50371729998733, 94.81541760000982, 95.88493989998824, 98.09781259999727, 98.25838089999161, 98.58368059998611, 99.84261930000503, 100.22471040001255]","['right', 'space', 'space', 'space', 'left', 'space', 'right', 'space', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'space', 'left', 'right', 'right', 'right', 'space', 'left', 'right', 'left', 'right', 'space', 'right', 'left', 'space', 'right', 'space', 'left', 'right', 'left', 'left', 'right', 'left', 'space', 'left', 'right', 'space']"
3,1,LL,4,45,red,0.5,1.0,3.0,"[1.7297065000166185, 1.1162622999981977, 1.9064333999995142, 1.1417396999895573, 0.09984260000055656, 1.0204820999933872, 0.29222289999597706, 1.0425881999835838, 1.8895579999953043, 0.15040499999304302, 0.17810460002510808, 2.8775479000178166, 0.8975475000042934, 0.4321306000056211, 1.522985300020082, 2.739384799991967, 1.339357699995162, 2.341585300018778, 1.6072603999928106, 1.6500476000073832, 1.0820389000000432, 1.7438458000251558, 1.1662304000055883, 1.5248214000021107, 2.3052444999921136, 1.4336328000063077, 1.0893821999779902, 1.5797265000001062, 1.4272016999893822, 1.340497700002743, 0.9396652999857906, 0.424686299986206, 0.7235313000273891, 0.7767342000151984, 0.16205730001092888, 0.08476789999986067, 1.2203080999897793, 3.875796599983005, 3.8307932000025176, 3.236260300007416, 1.9758465999912005, 3.4906060000066645, 0.28929350001271814, 2.741329200012842, 2.10573400001158, 2.8429716999817174, 1.9463972999947146, 1.428399399999762, 1.3934651000017766, 1.2419920999964233, 1.0630793000163976, 1.2406413000135217, 0.7898423000006005, 0.6476736000040546, 0.16047629999229684, 1.390157999994699, 3.818525100010447, 2.7478676000027917, 3.0176852000004146, 1.297143200004939, 1.6906630000157747, 1.2903057000075933, 1.0868639000109397]","[0.7115522999956738, 2.772088800003985, 3.891793500020867, 6.031898500019452, 7.382965299999341, 7.520670700003393, 8.68354680002085, 9.115381100011291, 10.20781540000462, 12.09185230001458, 12.455020099994726, 12.641802600002848, 15.881681300001219, 16.985476100002415, 17.940121999999974, 19.409683600009885, 22.19806460000109, 23.438011799997184, 25.741118400008418, 27.27988250000635, 29.926629099994898, 30.95471799999359, 32.743768899992574, 33.89706180000212, 35.413789300015196, 37.687602599995444, 39.17430410001543, 40.24328610001248, 41.79134150000755, 43.1959693999961, 44.51368450000882, 45.44218300000648, 45.89067769999383, 46.583448899997165, 47.317603600007715, 47.48473700002069, 47.682950300019, 48.94304370001191, 52.86814619999495, 56.67930109999725, 59.95091380001395, 61.91872600000352, 65.77334929999779, 66.18242140000802, 68.96481619999395, 71.04386960002012, 73.83700180001324, 75.73225349999848, 77.16702890000306, 78.51634910001303, 79.72652779999771, 80.76848450000398, 81.96966500001145, 83.03235240001231, 84.13321440000436, 84.36957870001788, 85.73264410000411, 89.46772580000106, 92.19602230002056, 95.17401230000542, 96.41817900000024, 98.05879330000607, 99.30608239999856]","['right', 'left', 'right', 'left', 'right', 'right', 'space', 'left', 'right', 'space', 'space', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
