session,participant,TrialNumber,topColor,topOri,ran,order,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys
12,13,1,red,45,1.0,0.0,cut off by trial end,[4.67317039999989],[0.891907700000047],['space'],[<psychopy.hardware.keyboard.KeyPress object at 0x0000020BE71B49B0>],0.0900406,6.0869675,[['space', 103.21492869999975]]
12,13,2,blue,135,1.0,1.0,cut off by trial end,[2.5345704999999725, 2.0135800000002746],[0.6135653999999704, 3.280606599999828],['left', 'right'],[<psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7477A20>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7477B70>],6.5660806,12.564132,[['left', 109.69064679999974], ['right', 109.69148079999968]]
12,13,3,red,135,1.0,2.0,cut off by trial end,[0.2514282000001913, 0.25127670000028957, 0.255150599999979, 0.24249330000020564, 0.265300500000194, 0.2674037999995562, 0.27613890000020547, 0.2713150000004134, 0.31456170000001293, 0.31483209999987594, 0.35701830000016344, 0.22412569999960397],[0.9215893000000506, 1.2971582999998645, 1.680570500000158, 2.0808047000000442, 2.4528802999998334, 2.8163084000002527, 3.18270369999982, 3.556444299999839, 3.902924500000154, 4.279935200000182, 4.669910300000083, 5.052153200000248],['right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left'],[<psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7279C18>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7279CC0>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7279898>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7279C50>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7279D30>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7279080>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE72792B0>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7279A20>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7466F98>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE74662E8>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7466208>, <psychopy.hardware.keyboard.KeyPress object at 0x0000020BE7279710>],13.043116,19.039873,[['left', 116.16739049999978], ['right', 116.16787339999973], ['left', 116.16832939999995], ['right', 116.16882869999972], ['left', 116.1692794999999], ['right', 116.16975849999972], ['left', 116.17025609999973], ['right', 116.17071469999973], ['left', 116.17117629999984], ['right', 116.17169059999969], ['left', 116.17216129999997], ['right', 116.1726647999999], ['left', 116.23185329999978]]
12,13,4,blue,45,1.0,3.0,cut off by trial end,[4.367428000000018],[0.915959699999803],['space'],[<psychopy.hardware.keyboard.KeyPress object at 0x0000020BE727DE48>],19.468723,25.465715,[['space', 122.5939841999998]]
