,topOri,topColor,keyDur,keyRT,keyName
0,45,blue,"[0.928474099986488, 0.966201599992928, 1.2422179999994114, 1.4986320000025444, 1.4783670999895548, 1.5301300999999512, 1.302111099998001, 1.224532399995951, 1.5071477000019513, 1.4106541999935869, 3.292533400002867, 1.252991800007294, 2.902047700001276, 1.3583392000000458, 1.5741971999959787, 2.012239999996382, 1.1151915999944322, 1.0848417000088375, 0.9653598999866516, 1.3746067000029143, 1.5074803000024986, 1.773014400008833, 0.9876328999962424, 1.0561864000046626, 1.1683421000052476, 1.2390164999960689, 0.86606380000012, 2.0032303000043608, 1.1950499000085983, 0.988317700001062, 0.8625236000079894, 1.4805424000078349, 0.8578186999948231, 1.2668587000080151, 1.8436447999993104, 0.7382630999927642, 0.31652089999988675, 1.0660341000038898, 1.1354148000100397, 2.3876801999867894, 0.2153200999891851, 1.7863799000042488, 1.489143700004206, 1.4531876999972155, 1.0570606000110274, 0.7449385999934748, 1.6533533000038003, 1.040772799999104, 2.436576599997352, 0.09909370000241324, 1.0249503000086406, 1.4322092999937013, 0.7724871999962488, 1.0978433999989647, 0.819686200004071, 1.1553419999981998, 1.164460899992264, 0.5725632999965455, 0.7604667999985395, 0.9951490000094054, 1.954773100005696, 1.2151955000008456, 1.2442440000013448, 1.2974270000122488, 1.3706510000047274, 1.3738261999969836, 1.3772417000000132, 0.6394781000126386, 1.5714415999973426, 1.3349463000049582, 1.445060199999716, 3.186681499995757, 0.595547600009013, 0.8387125000008382]","[1.213202500002808, 2.113032499997644, 2.9879765999939982, 4.202333499997621, 5.689214500001981, 7.1601241000025775, 8.61103159999766, 9.871858500002418, 11.018134999991162, 12.493985199995224, 13.826382100000044, 17.0769367999892, 18.201095299999, 23.45123989999411, 24.786784399999302, 26.300558599992648, 28.271507500001462, 29.323908299993487, 30.364699600002496, 31.26653519998945, 32.59063049999532, 34.05023509998864, 35.801930000001455, 36.73745659999258, 37.77742349999608, 38.90172110000275, 40.11319969999022, 40.92225699999835, 42.92006369998853, 44.0872529999906, 45.062554499992984, 45.91934959999344, 47.62939780000306, 48.43551359999401, 49.623827199990046, 51.449214499996735, 52.26120860000083, 53.794767999992466, 54.856614199990865, 55.9414792000025, 58.379743500001496, 58.5246133999899, 60.24983699999574, 61.71749579999596, 63.06807919999119, 64.08434970000235, 64.8094393999927, 66.43310129999008, 67.43297449999955, 69.88523459999124, 69.99659939999401, 70.98236609999731, 72.39552849999745, 73.09100760000001, 74.21719339999254, 75.02360739999858, 76.14882139999827, 77.27083389999461, 79.2815785999992, 79.95622149998962, 80.88002749999578, 82.79619149999053, 83.96523029998934, 85.14016299998912, 86.38729849999072, 87.72274749999633, 89.07707539999683, 90.40615109998907, 91.01214069999696, 92.57396049999807, 93.87635559999035, 95.28780859999824, 98.4627058999904, 99.07342649999191]","['right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'left', 'right', 'space', 'right', 'space', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'space', 'left', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'space', 'space', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space']"
1,135,red,"[0.5516322999901604, 0.5580474000016693, 0.6388475000130711, 2.64711229999375, 0.872330600002897, 1.6656442999956198, 1.1254234999942128, 1.292499299990595, 1.5389483000035398, 1.228440599996247, 1.2219757000129905, 2.5999233000038657, 2.4267281999927945, 1.4568977000017185, 1.141059799992945, 0.8198230999987572, 1.200852299996768, 2.2493156999989883, 1.4590195000055246, 1.0540042000066023, 0.955682899992098, 2.8226147000095807, 0.4852661000040826, 2.1351441999868257, 2.3580854999891017, 2.7010590999998385, 1.4211723999906098, 0.9542302999907406, 2.9216452999971807, 4.570582500004093, 2.9942322999995667, 1.4356038999976592, 1.6406205000093903, 0.8780509999924107, 2.5066119999974035, 1.4270671000122093, 1.5472723999992013, 1.1343051000003468, 1.0154992000025231, 1.0805355000047712, 0.9168846999964444, 1.4235667000029937, 1.4439776000072015, 1.2745831000065664, 2.8033696000056807, 1.2455666999885577, 1.2038108999986434, 2.5823662000038894, 1.1685044000041669, 1.3976554999971995, 2.165124499995727, 1.50338210001064, 1.5797769000055268, 2.3650949000002583, 1.9554199999984119, 1.1068839000072328, 1.4301781999965897, 2.4286687999992864, 2.0229326999979094, 2.1017539000022225, 1.3127233999985035, 0.8870951999997487]","[0.9222083000058774, 1.4435446999996202, 2.0056273999944096, 2.5992051000066567, 6.098885100000189, 6.908750500006136, 8.552924300005543, 9.61513570000534, 10.880414200000816, 12.345002700007171, 13.550134599994635, 14.67769959999714, 17.230601600007503, 19.598616200004468, 21.026775000005728, 22.03782179999689, 23.039776300007357, 24.151907000006762, 26.369445999996966, 27.768884599994635, 28.78721850000147, 29.69206299999496, 33.01434490000247, 33.482749700007844, 35.66682110000693, 37.99627970000438, 40.620810000007616, 42.05910090000543, 42.925426400004646, 45.823893599997966, 50.35065409999515, 53.290750700005454, 54.662914999993525, 56.252519300003776, 56.989107200002756, 59.429818599994185, 60.75784239999484, 62.2886870000075, 63.3417128000001, 64.31270439999935, 65.33372470000177, 66.20630049999454, 67.56012419999752, 68.97439699999813, 70.18499369999336, 72.9469950000057, 74.10155130000203, 75.26032950000081, 77.76554510000278, 78.87182430000394, 80.20849210000597, 82.30926959999488, 83.75327169999946, 85.29131830000551, 87.59665669999958, 89.51706579999882, 90.56114510000045, 91.96997220000776, 94.32832450000568, 96.30170830000134, 98.31624020000164, 99.58999829999811]","['right', 'space', 'left', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']"
2,45,red,"[0.5540904000081355, 2.545732799990219, 1.1503812000009928, 3.6700207999965637, 0.9744074000045656, 1.0506643999979133, 3.1020438999985345, 2.2931135999970143, 3.2257085999881383, 2.4011102000076794, 1.2969859000004362, 1.193780000001425, 1.668018199998187, 1.27754680000362, 1.853628500000923, 3.125077700009569, 1.1716290999902412, 1.2409031999995932, 4.235732399989502, 3.929364499999792, 1.6019082000129856, 1.6366131999966456, 2.9167170000000624, 1.3028765999915777, 0.8136904999992112, 1.881364400003804, 0.7120768000022508, 2.0714096000010613, 2.202520500009996, 2.8771922000014456, 1.2489353999990271, 0.5828425999934552, 1.8689691000035964, 2.7704394000029424, 1.4130425999901493, 2.383169900000212, 2.292248700003256, 0.6707643999980064, 1.6551433000131508, 2.294788300001528, 1.388671599997906, 2.3151813000004045, 0.4996917999960715, 1.3554722000117179, 1.269836999999825, 0.9897689000063109, 1.0454681999981403, 0.978106900001876, 0.7941124999924796, 0.9379579999949784, 0.484017099995981, 1.0686894999962533, 0.9104029000009176, 1.185247099987464, 0.8815190000022994, 0.7642254999955185, 1.4638871000061044, 0.7522578999924008, 1.1232942000060575, 1.2211700000043493, 1.1609656999935396, 1.6508390999952098, 2.2042094000062207]","[1.9263013000017963, 1.3100151000107871, 3.8414560000092024, 4.938888100004989, 8.56243770000583, 9.468103999999585, 10.5128534000105, 13.539316900001724, 15.781226500010236, 18.944183100000373, 21.282275300007313, 22.490138900000602, 23.019807900011074, 24.654969499999428, 25.863871699999443, 27.6940093000012, 30.7634398000082, 31.89043530001072, 33.06832420000865, 37.27050810000219, 41.117231199998066, 42.66232420000597, 44.19485150001128, 47.066722400006256, 48.30979410000146, 49.08112020000408, 50.894332800002296, 51.55916390000493, 53.56814920000034, 55.729907900007674, 58.54138090000196, 59.77881250000792, 60.40519109999877, 62.16642720000527, 64.63184310001088, 65.99551300000167, 68.30976220000593, 70.54114430000482, 71.14768429999822, 72.73921189999966, 75.02960449999954, 76.35577300000296, 78.63739240000724, 79.0932662999985, 80.3792844999989, 81.6274046000035, 82.55844520000392, 83.57218040000589, 84.52192510000896, 85.31950140000845, 86.19776700000511, 86.64246020000427, 87.62424289999761, 88.51171830001113, 89.62568670000474, 90.46409760000824, 91.14342160000523, 92.54533800001082, 93.26667850000376, 94.2743785000057, 95.44880930001091, 96.51082550000865, 98.13740540000435]","['right', 'space', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'space', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'space']"
3,135,blue,"[0.49548710000817664, 0.8015963999932865, 0.8224556999921333, 0.3056336999870837, 0.4736134999984642, 0.7405049999943003, 0.6703464000020176, 0.8292694999981904, 0.5920257999969181, 0.13820650000707246, 4.113507299989578, 1.3141907000099309, 2.9952046999969757, 1.919991600007052, 1.2718246000003999, 1.6774393999949098, 1.6454293999995568, 3.770279699994717, 2.3092988999997037, 2.0099073000019416, 2.3282804999907967, 1.3444718999962788, 1.5065850999963004, 0.9429780000064056, 0.6360786000004737, 2.5873559000028763, 1.1726775999995878, 1.8037188000016613, 1.3516840999945998, 1.1086645999894245, 1.0209615999920059, 1.6080146000022069, 1.5378365999931702, 1.9036560999957144, 2.584633799997391, 1.6474658999941312, 1.2409773999970641, 0.4335128999955487, 5.381929900002433, 0.821902499999851, 1.8770128000032853, 0.54322890000185, 1.480369700002484, 2.0725368999992497, 2.367791399999988, 1.5162954999977956, 2.495986000008997, 1.5707314000028418, 0.4468011999997543, 4.674204599999938, 0.5588231000001542, 0.8090463999978965, 1.156752700000652, 1.1412678000051528, 1.274092000006931, 1.34113499999512, 0.9260310999961804, 1.277893500009668, 3.7556459000043114, 0.5865305000043008, 0.8323835000046529, 1.4475253999989945, 3.2964691999950446, 0.7817275999987032, 1.060136500003864]","[0.7510512999870116, 1.204448999997112, 1.905454799998552, 2.6931298999988944, 3.6174886999942832, 4.089561799992225, 4.802727999995113, 5.390104499994777, 6.182601499996963, 6.734050499988371, 6.776063199999044, 11.015728499987745, 12.255224900000028, 15.21501579998585, 17.04411259999324, 18.27418829999806, 19.8756727999862, 21.474081199994547, 25.15916639998613, 27.4232587999868, 29.336049899997306, 31.591219599999018, 32.82856739999261, 34.272058499991545, 35.1375793999905, 35.755527199988144, 38.2019411999936, 39.27191459998721, 41.042381399995065, 42.29203979999875, 43.36234039999545, 44.27992639999138, 45.854644699997145, 47.31404499999189, 49.17394909998984, 51.6988566999935, 53.33892329999071, 54.50138529999822, 54.99294439998629, 60.36237699999764, 61.189691399995354, 63.07624759999454, 63.5422208999953, 64.99357829999643, 66.97594529998605, 69.30622949999815, 70.72667959998944, 73.25132129999109, 74.73667409998598, 75.14421759999824, 79.82714949999354, 80.3638360999903, 81.12054519999947, 82.20426029998634, 83.31098889998975, 84.49500559999433, 85.76194949999626, 86.60879629998817, 87.81366099999286, 92.43347179998818, 93.49874899999122, 94.2803000999993, 95.70957229999476, 98.8545438000001, 99.57928439999523]","['right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'space', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'space', 'left', 'right', 'space', 'left', 'right']"
