,session,participant,TrialNumber,topOri,topColor,redOpacity,ran,order,keyDur,keyRT,keyName
0,1,03,1,45,red,0.5,1.0,0.0,"[7.88223469996592, 5.390397000010125, 0.42167130002053455, 0.056347500008996576, 2.288617999991402, 4.5084908999851905, 11.756406500004232, 5.882893800036982, 5.460445900040213, 46.187772499979474]","[0.8139583999873139, 9.803857499966398, 17.86808599997312, 18.292308799980674, 18.731105599959847, 21.10683419997804, 25.8257842999883, 39.498564299952704, 46.74577409995254, 54.374878000002354]","['left', 'left', 'left', 'space', 'left', 'space', 'left', 'left', 'left', 'space']"
1,1,03,2,45,red,0.5,1.0,1.0,"[0.12039309996180236, 2.106134800007567, 17.000436900008935, 45.19229279999854, 27.62008830002742]","[4.228389199997764, 4.360651599999983, 9.571442699991167, 27.705068800016306, 72.94318259996362]","['left', 'left', 'right', 'left', 'space']"
2,1,03,3,135,red,0.5,1.0,2.0,"[0.11954939999850467, 0.977430600032676, 4.998705799982417, 1.102500599983614, 0.12239279999630526, 8.35973039997043, 9.268016499991063, 5.371610400034115, 4.08046170003945, 6.288638899975922, 1.7550902999937534, 2.6715136999846436, 1.8852121999952942, 2.6420131999766454, 2.162432099983562, 3.9715324999997392, 5.626239400007762, 2.2384149999707006, 4.632144899980631, 6.30794580001384, 3.3931518999743275, 0.45781589997932315]","[10.820513400016353, 23.748609000002034, 24.711941800022032, 29.586201300029643, 38.66964730003383, 30.588378400017973, 38.891347100026906, 48.074417099996936, 53.40215169999283, 57.47045980003895, 63.72906520002289, 65.37986610003281, 67.9758324000286, 69.78356100001838, 72.35415860003559, 74.43388220004272, 78.3329958000104, 83.88000460003968, 86.08542260003742, 90.62097769998945, 96.8804449000163, 100.24827350000851]","['right', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
3,1,03,4,135,red,0.5,1.0,3.0,"[0.33710309996968135, 1.8724789000116289, 2.7494913000264205, 2.0137768000131473, 2.7369510999997146, 4.198221000027843, 0.11921760003315285, 4.055211300030351, 0.566016299999319, 2.0630824000108987, 5.336956800019834, 3.2255757999955676, 4.226269999984652, 6.35057719994802, 2.788851000019349, 5.626485800021328, 3.5262282000039704, 2.622084500035271, 4.902544600015972, 2.2417158000171185, 14.97135760000674, 2.226548400009051, 3.3175081000081263, 2.925859600014519, 3.9205027999705635, 3.3161350999725983, 2.7260023999842815, 3.3336852999636903, 1.1640644999570213]","[1.868964200024493, 2.3812773000099696, 4.178235900006257, 6.920523700013291, 8.864905500027817, 11.557156700000633, 15.764341400004923, 15.664850300003309, 20.11597540002549, 20.407196199987084, 22.43506059999345, 27.758792800013907, 30.852797600033227, 35.00350610003807, 41.291517800011206, 44.05416739999782, 49.653135400032625, 53.15293169999495, 55.718603699991945, 60.5520414999919, 62.897510699986015, 77.8125902999891, 80.033637000015, 83.26094790000934, 86.21059580001747, 90.61369610001566, 93.82133350003278, 96.25525650003692, 99.56884260004153]","['left', 'left', 'right', 'left', 'right', 'left', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'space', 'left', 'right', 'left', 'space', 'left', 'space', 'left', 'space', 'left', 'space', 'left']"
