,session,participant,TrialNumber,topOri,topColor,redOpacity,ran,order,keyDur,keyRT,keyName
0,3,03,1,45,red,0.5,1.0,0.0,"[2.5220160000026226, 2.065392900025472, 1.733478499983903, 1.1338468000176363, 0.3553609999944456, 3.0242156999884173, 0.277445700019598, 4.571172500029206, 1.652586699987296, 2.213060099980794, 3.489549500052817, 1.021914699987974, 3.1171964000095613, 1.5338947999989614, 1.2915746999788098, 1.3308871000190265, 2.391573100001551, 1.5749727999791503, 1.535789499990642, 2.3587517000269145, 0.34447870001895353, 4.181352000043262, 3.0909958999836817, 3.110754100023769, 2.087183099996764, 1.9108131999964826, 1.9796879999921657, 0.19523599999956787, 3.972532899992075, 1.2348542000399902, 0.21915320004336536, 0.26623389997985214, 1.9874697000486776, 7.859432200028095, 1.9187210000236519, 0.5423728000023402, 2.356709800020326, 1.7749547000275925, 1.4412339000264183, 2.1751787000102922, 0.1887125000357628, 2.3358697000076063, 1.8885582000366412, 1.0461781000485644, 2.3136814000317827, 2.1676764999865554]","[0.8672743999632075, 3.098659199953545, 5.595572199963499, 7.640651699970476, 9.303522099973634, 10.39870510000037, 10.792539299989585, 16.52892669994617, 13.734117799962405, 18.394821599998977, 20.22577999997884, 22.567653099948075, 26.117099299968686, 27.609907699981704, 30.825928699981887, 32.41079379996518, 33.844347499951255, 35.4327665999881, 37.75515069998801, 39.26637369999662, 40.7480822999496, 44.50433939998038, 43.0524789999472, 47.03667679999489, 50.09035129996482, 53.109404299990274, 55.15909749997081, 57.00074039999163, 59.5138120999909, 58.93869709997671, 62.80455849994905, 64.12938919995213, 64.67147289996501, 64.98010269994847, 66.9205717999721, 74.6820894999546, 76.52284379996127, 76.98688449995825, 79.35517449997133, 81.07879919995321, 82.50017919996753, 84.61454529996263, 84.73221809999086, 86.97233059996506, 88.84060869994573, 89.84331629995722]","['left', 'right', 'left', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
1,3,03,2,135,red,0.5,1.0,1.0,"[0.5400362000218593, 1.8114442999940366, 1.9576795999892056, 1.1033695000223815, 14.650916100014001, 5.237144000013359, 4.471548600005917, 4.258641300024465, 0.1435726000345312, 12.283421200001612, 1.1293575000017881, 9.007398599991575, 0.48939449997851625, 0.7004487999947742, 0.8812663999851793, 1.5581597999553196, 3.047060600016266, 1.695247899973765, 1.9490408999845386, 1.6397603999939747, 0.9895314000314102, 2.7019551999983378, 1.0046782999997959, 0.714078499993775, 0.5470292000100017, 0.44848319998709485, 1.5003688000142574, 1.399905199999921, 4.252422699995805, 0.34656360000371933, 1.6960786000126973, 1.1859092999948189, 3.608009099960327, 4.195705000020098, 17.57135040004505, 0.136909699998796, 2.2429513999959454, 0.39626410003984347, 1.3734411000041291, 2.0776526000117883]","[1.9551211000070907, 2.5753181999898516, 3.0773660999839194, 4.863647699996363, 6.825031599961221, 7.961790099972859, 22.602461499976926, 27.78200259996811, 32.262426399975084, 36.844855099974666, 36.48139099997934, 48.91301249997923, 49.9757042999845, 58.961627700016834, 59.61575499997707, 60.302047099976335, 61.1610988000175, 62.68505379999988, 65.68212549999589, 67.31318920000922, 69.23380909999833, 70.82955049996963, 71.81488199997693, 74.46883989998605, 75.46873650001362, 76.1229940999765, 76.68286579998676, 77.14277049998054, 78.58318789995974, 80.01851139997598, 84.32966669998132, 84.70504039997468, 86.38825570000336, 87.53165650001029, 91.05871409998508, 77.99929949996294, 97.0739012999693, 95.19478189997608, 98.2472750999732, 97.34846569999354]","['right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'left', 'space']"
2,3,03,3,45,red,0.5,1.0,2.0,"[0.48955860000569373, 1.8287336000357755, 1.2942084000096656, 3.445641500002239, 2.0981121999793686, 0.6342914999695495, 1.406161900027655, 1.9261188000091352, 1.8827604000107385, 1.4751313999877311, 1.0206287000328302, 1.4674172999802977, 1.168652500025928, 2.870691899966914, 0.8480868000187911, 0.173494299990125, 1.1530372999841347, 1.9856941999751143, 0.5131227999809198, 1.565427699999418, 0.31917509995400906, 2.6068114999798127, 1.4203190000262111, 2.012901399983093, 0.4105746999848634, 2.5126897000009194, 2.0030344999977387, 2.0557341999956407, 0.4381184999947436, 0.5909638999728486, 1.5955080999992788, 1.9063983000232838, 3.0129849000368267, 0.322678700031247, 0.30167529999744147, 1.0785333000239916, 0.7278250000090338, 0.39102149999234825, 0.13200929999584332, 0.14841909997630864, 1.1233969000168145, 1.574237200024072, 1.8171864000032656, 1.1616893999744207, 0.8659186000004411, 1.7159208999946713, 0.2586868000216782, 1.5115037999930792, 0.6026113000116311, 0.4257016000337899, 2.9961354000261053, 2.78876590001164, 4.64093250001315, 0.083667200000491, 1.9713302999734879, 4.361968399956822, 5.943952500005253, 0.13757750001968816, 0.12488279998069629, 0.3121316999895498]","[5.712956100003794, 6.484284200007096, 7.704573699971661, 9.489547799981665, 10.721319300006144, 14.099394600023516, 15.882131799997296, 16.492214899975806, 17.86719879996963, 19.75225409999257, 21.636705100012477, 23.226076999970246, 24.205227300000843, 25.645918599970173, 26.758546600001864, 29.667945499997586, 30.5102659999975, 30.664108900004067, 31.761269200011156, 33.90770899999188, 34.371442699979525, 35.914776400022674, 36.31114840001101, 38.89933749998454, 40.306446800008416, 42.3614932000055, 43.203121799975634, 45.75296620000154, 47.77351829997497, 52.56295529997442, 53.24145289999433, 53.81039180001244, 55.33685929997591, 57.1983589999727, 60.151882499980275, 60.47618519997923, 60.74748889997136, 61.83210140001029, 62.56472490000306, 62.97190140001476, 63.20194130000891, 63.28061879996676, 64.46514069999103, 66.0339145999751, 67.74212870001793, 69.76879499998176, 70.71274109999649, 72.43603659997461, 72.83038100000704, 74.36502889997791, 75.18358329997864, 75.94245079997927, 78.92461629997706, 81.77983229997335, 86.5747463000007, 86.94848780002212, 89.50023890001466, 94.36096630000975, 100.31057139998302, 100.41312330000801]","['right', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'left', 'right', 'left', 'space', 'left', 'space', 'right', 'left', 'space', 'right', 'left', 'space', 'right', 'left', 'space', 'right', 'left', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'space', 'left', 'space', 'left', 'right', 'left', 'left', 'right', 'right', 'left', 'left', 'right', 'left', 'left', 'right', 'left', 'left', 'right']"
3,3,03,4,135,red,0.5,1.0,3.0,"[1.5867530000396073, 0.3286344999796711, 0.8873366999905556, 1.7775227999663912, 1.079163399990648, 1.4186275000101887, 1.0808759999927133, 1.3608577999984846, 1.6348627000115812, 1.1460298000019975, 0.41927339998073876, 1.769662700011395, 0.9588875999907032, 0.9381670000148006, 0.4473547000088729, 1.1723776999861002, 1.6393281999626197, 4.901018299977295, 0.7105348000186495, 0.9568878000136465, 2.9871215000166558, 3.8335358000476845, 0.6255557999829762, 0.18698030000086874, 1.1874086000025272, 4.087645799969323, 0.2275612999801524, 1.7730615999898873, 4.195808499993291, 0.5378381999908015, 3.382606900006067, 0.07879820000380278, 2.1966806999989785, 0.433670699945651, 5.548675500031095, 0.8999938999768347, 4.75125669996487, 0.908531800028868, 3.0048449999885634, 1.884934899979271, 2.3854860000428744, 0.427576299989596, 0.09378819999983534, 12.154394800018054, 4.037630300037563, 2.517370600020513, 0.3478541999938898, 2.2586957999737933, 0.7506824000156485, 0.6256364000146277]","[1.407861799991224, 2.4003889999585226, 4.6514293999644, 4.905644799990114, 5.75924089999171, 7.496209899953101, 8.540424099948723, 9.908890099963173, 10.978005199984182, 12.28917259996524, 13.89110469998559, 14.9583271999727, 15.371725799981505, 17.06289519998245, 17.988633699947968, 19.396951899980195, 19.88783149997471, 21.00994429999264, 22.605872499989346, 27.497064799943473, 28.22694209998008, 29.16071639995789, 32.12093389994698, 36.16711579996627, 36.73321199999191, 36.8749722999637, 38.59312219999265, 42.94094679999398, 43.22611449996475, 44.980727199988905, 51.10607459995663, 51.62435939995339, 55.20331059995806, 55.56923779996578, 57.58761129999766, 58.01736219995655, 63.26618659996893, 64.19147409999277, 68.96815729996888, 69.94640259997686, 72.8997212999966, 74.80979529995238, 77.14374839997618, 77.57601599994814, 77.63716499996372, 90.35530929995002, 94.32400669995695, 96.88122899999144, 97.16445749998093, 99.17425429995637]","['right', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'space', 'left', 'right', 'left', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space']"
