,session,participant,TrialNumber,topOri,topColor,redOpacity,ran,order,keyDur,keyRT,keyName
0,2,06,1,45,red,0.5,1.0,0.0,"[1.0035232999362051, 1.5508628999814391, 1.2188989999704063, 1.5247491999762133, 1.808515999931842, 0.14094829990062863, 1.535828199936077, 1.2534300000406802, 1.282692899927497, 0.7084377000574023, 0.5992009000619873, 0.5802372000180185, 2.3379254000028595, 1.3287484999746084, 1.171887299977243, 1.0683764000423253, 2.6676100000040606, 3.3399286000058055, 1.2971090000355616, 2.0664962999289855, 1.1612951999995857, 1.1748921999242157, 2.2158450999995694, 2.065602199989371, 2.6452301000244915, 2.661384900100529, 2.360815800027922, 1.9122812000568956, 4.95902800001204, 1.082153500057757, 1.000783099909313, 2.992731099948287, 1.664720100001432, 1.5286396999144927, 3.0325253000482917, 5.25021040008869, 1.0994999998947605, 1.635491899913177, 1.348883799975738, 2.4532911999849603, 1.2404580999864265, 1.1988232999574393, 4.486496799974702, 0.9519162999931723, 2.32631360006053, 3.1596281999954954, 2.063134799944237, 2.102829599985853]","[1.0009497000137344, 2.232115800026804, 3.8617745999945328, 5.160703500034288, 6.666280800011009, 9.343938000034541, 8.676353799994104, 10.2429426999297, 11.649326600017957, 12.907269899966195, 13.76122939994093, 15.016181799932383, 15.945266700000502, 18.30231219995767, 19.883642500033602, 21.946748599992134, 23.079061800031923, 25.725288399960846, 30.032854999997653, 31.867099400027655, 33.96447739994619, 35.11993960000109, 36.28014439996332, 38.522169600008056, 40.512351599987596, 43.178501099930145, 46.078523400006816, 48.53125919995364, 50.47942470002454, 55.462356699979864, 56.529311900027096, 57.497509700013325, 60.793137799948454, 62.44458060001489, 63.996734499931335, 67.05203389993403, 72.29319550003856, 73.70685750001576, 75.2426104999613, 76.57731159997638, 78.99230979999993, 80.16458620002959, 81.45792479999363, 86.0185499000363, 87.00002209993545, 89.330707599991, 92.46060360001866, 98.37756970000919]","['space', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'space', 'right', 'left', 'space', 'space', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'space', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'space', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'right']"
1,2,06,2,135,red,0.5,1.0,1.0,"[1.926839099964127, 2.2819582000374794, 0.597522999974899, 1.660410299897194, 0.9147212000098079, 1.612280400004238, 1.65702079993207, 0.9272743000183254, 0.7774400999769568, 3.3350937999784946, 1.3194199999561533, 2.223792999982834, 0.4576375000178814, 3.3722288000863045, 1.3201659999322146, 0.5896284999325871, 3.744569000089541, 2.0831438000313938, 2.2821632999693975, 2.058953300002031, 2.2836839000228792, 0.3157428000122309, 3.9734657999360934, 2.3972862000809982, 2.2995779999764636, 1.2284898000070825, 2.0253809000132605, 2.1439546999754384, 1.124136200058274, 1.3582819999428466, 1.9878317000111565, 1.335733599960804, 1.3901372000109404, 1.562277999939397, 1.2367625000188127, 1.0200984999537468, 2.604067400097847, 3.574298100080341, 0.7091443000826985, 2.3305394999915734, 1.4844494999852031, 3.1696157000260428, 1.7824378999648616, 2.5328364999732003, 3.803123899968341, 3.0416025000158697, 1.6354182999348268, 0.686652300064452]","[2.3042976000579074, 4.170924699981697, 6.445300000021234, 7.221906300052069, 8.86256419995334, 9.76858379994519, 11.358646100037731, 13.011048099957407, 14.106384700047784, 14.93849460000638, 18.236108100041747, 19.62385129998438, 21.88290510000661, 22.348483499954455, 25.645156900049187, 26.961033700034022, 27.662465199944563, 31.441370000015013, 33.55194310005754, 35.927235599956475, 38.33557060000021, 41.999758500023745, 40.793942800024524, 44.86875479994342, 47.34493210003711, 49.72722789994441, 51.12332250003237, 53.275606899987906, 56.153252299991436, 57.36645700002555, 58.71822899999097, 61.37409589998424, 62.82465169997886, 64.88095010002144, 66.47643499996047, 67.86373890005052, 68.87542069994379, 72.87005579995457, 77.59816509997472, 78.31769379996695, 80.63401130004786, 82.28346900001634, 86.87818100000732, 88.7268590000458, 91.28828430001158, 95.08492339996155, 98.17184930003714, 99.80896719999146]","['left', 'right', 'left', 'space', 'left', 'space', 'right', 'space', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'space', 'space', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'space', 'left', 'right', 'left', 'space', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']"
2,2,06,3,135,red,0.5,1.0,2.0,"[0.9089279000181705, 1.410504800034687, 0.7603761999635026, 1.8021048000082374, 0.8961063000606373, 1.0918673999840394, 1.0827285000123084, 1.2644052000250667, 1.8044539000838995, 0.993692500051111, 1.2848357999464497, 0.9545834999298677, 1.197941799997352, 1.3949148000683635, 0.8961099999723956, 2.2947057000128552, 1.6416596000781283, 1.0677626999095082, 2.1605488000204787, 2.3174917000578716, 2.380585000035353, 2.1775256999535486, 2.9509571000235155, 1.306452399934642, 1.4014744999585673, 0.8140274999896064, 1.4948784000007436, 2.5866261000046507, 0.8355777999386191, 0.7553189001046121, 1.0040930999675766, 2.0472553999861702, 2.7503248000284657, 1.2314690999919549, 1.7663828999502584, 1.7585030000191182, 1.37335859995801, 0.8523539999732748, 1.0887987000169232, 1.4785813000053167, 2.3847867000149563, 0.9462807000381872, 2.464876800077036, 0.9719887999817729, 1.871157299960032, 1.6689682999858633, 1.1286757999332622, 1.105527399922721, 1.077012600027956, 1.839395400020294, 0.87192619999405, 1.308958499925211, 1.4956807000562549, 1.2100606000749394, 2.058380899950862, 2.148024499998428, 1.1758432999486104, 4.00392060005106]","[0.6797171999933198, 1.545875999960117, 2.904122299980372, 3.621427800040692, 5.286121399956755, 6.156789800035767, 7.234964799950831, 8.336807399988174, 9.59695469995495, 11.412669999990612, 12.469672000035644, 13.752819400047883, 14.700708499993198, 16.085702699958347, 17.444304500008002, 18.320370799978264, 20.6049962999532, 22.212930800043978, 23.27715530002024, 25.472094399970956, 28.26294219994452, 30.678070900030434, 32.7841215999797, 36.42866950004827, 37.724425000022165, 39.06656369997654, 39.8634184000548, 41.31070140004158, 43.888121200026944, 44.933457499952056, 45.533709799987264, 46.57381199998781, 48.63272400002461, 52.19343059998937, 53.429663000046276, 55.205400999984704, 56.97743690002244, 58.34460740000941, 59.20227899996098, 60.24958830000833, 61.70639760000631, 64.12021089997143, 70.48757849994581, 73.17909240000881, 74.15865230001509, 76.17642070003785, 77.94765410001855, 79.13023370003793, 80.28194110002369, 81.38761760003399, 83.67688220005948, 85.89601210004184, 87.28471919998992, 88.85602119995747, 90.07035990001168, 92.08383340004366, 94.24809160002042, 96.42925219994504]","['right', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'left', 'right', 'space', 'right', 'left', 'right', 'space', 'right', 'left', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'left', 'right', 'left']"
3,2,06,4,45,red,0.5,1.0,3.0,"[0.9544529999839142, 0.581199900014326, 2.082124299951829, 0.36530509998556226, 1.2459781999932602, 1.1030956000322476, 1.151744700036943, 0.4772125000599772, 3.444629199919291, 1.6110060999635607, 1.2218784000724554, 0.3206800000043586, 4.673867000034079, 1.6919655000092462, 0.8962514000013471, 5.880828900029883, 1.3691624000202864, 1.486394300009124, 1.650034400052391, 2.077767699956894, 2.0496048000641167, 1.834950599935837, 1.6714281999738887, 0.3170082999859005, 1.0215994999743998, 3.082631799974479, 2.3130145999602973, 1.8564079999923706, 1.3282635000068694, 1.722149199922569, 1.6145282000070438, 2.9028487999457866, 1.8912690000142902, 2.2210797999287024, 2.077365400036797, 2.3127802999224514, 1.4212327999994159, 1.2318064999999478, 1.247677500010468, 1.5570435000117868, 0.41994279995560646, 1.7299324999330565, 1.2574204000411555, 1.4301550999516621, 1.569386100047268, 1.6883128000190482, 1.7994706000899896, 2.93110330007039, 1.657974199973978, 2.3295887000858784, 4.433299000025727, 1.8712619999423623, 3.492775799939409, 2.4919195999391377, 0.475148499943316]","[0.8248259000247344, 1.7237390000373125, 2.1761290000285953, 4.340103000053205, 4.782388100051321, 6.101759699988179, 7.253503800020553, 8.696406399947591, 9.149374200031161, 12.601978000020608, 14.21017119998578, 17.586781800026074, 15.41257379995659, 20.121725099976175, 21.738146299961954, 22.600420200033113, 28.448964099981822, 29.82176950003486, 31.230981300002895, 32.84242180001456, 34.90627709997352, 36.92888240003958, 38.75555500003975, 40.50554689997807, 40.678559400024824, 41.92308189999312, 44.96994390001055, 47.317170300055295, 49.339102800004184, 50.68941940006334, 52.39746120001655, 54.00569420005195, 56.89516800001729, 58.77980470005423, 60.958010499947704, 62.96498020004947, 65.21679360000417, 66.56501839996781, 67.75907939998433, 68.8495433999924, 70.42674020002596, 70.83690810005646, 72.55944490002003, 74.40589850000106, 75.8444526999956, 77.51666500000283, 79.16505259997211, 80.92497709998861, 83.8655684000114, 85.50320719997399, 87.79258150001988, 92.22136660001706, 94.0964449000312, 97.54811850003898, 100.02755210001487]","['left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'space', 'right', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'space', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left']"
