,session,participant,TrialNumber,topOri,topColor,redOpacity,ran,order,keyDur,keyRT,keyName
0,1,JH,1,45,red,0.5,1.0,0.0,"[0.9662015999929281, 1.2422179999994114, 1.4986320000025444, 1.4783670999895548, 1.5301300999999512, 1.302111099998001, 1.224532399995951, 1.5071477000019513, 1.410654199993587, 3.292533400002867, 1.252991800007294, 2.902047700001276, 1.3583392000000458, 1.5741971999959787, 2.012239999996382, 1.1151915999944322, 1.0848417000088375, 0.9653598999866517, 1.3746067000029143, 1.5074803000024986, 1.773014400008833, 0.9876328999962425, 1.0561864000046626, 1.1683421000052476, 1.2390164999960689, 0.86606380000012, 2.003230300004361, 1.1950499000085983, 0.9883177000010619, 0.8625236000079894, 1.4805424000078347, 0.857818699994823, 1.2668587000080151, 1.8436447999993106, 0.7382630999927642, 0.31652089999988675, 1.0660341000038898, 1.1354148000100395, 2.3876801999867894, 0.2153200999891851, 1.786379900004249, 1.489143700004206, 1.4531876999972155, 1.0570606000110274, 0.7449385999934748, 1.6533533000038005, 1.0407727999991039, 2.436576599997352, 0.09909370000241324, 1.0249503000086406, 1.4322092999937013, 0.7724871999962488, 1.0978433999989647, 0.819686200004071, 1.1553419999981998, 1.1644608999922639, 0.5725632999965455, 0.7604667999985395, 0.9951490000094054, 1.9547731000056956, 1.2151955000008456, 1.2442440000013448, 1.2974270000122488, 1.3706510000047274, 1.3738261999969836, 1.3772417000000132, 0.6394781000126386, 1.5714415999973426, 1.3349463000049582, 1.4450601999997161, 3.186681499995757, 0.595547600009013, 0.8387125000008382]","[1.213202500002808, 2.1130324999976438, 2.987976599993999, 4.202333499997621, 5.689214500001981, 7.160124100002577, 8.61103159999766, 9.871858500002418, 11.018134999991162, 12.493985199995223, 13.826382100000046, 17.0769367999892, 18.201095299998997, 23.451239899994107, 24.786784399999306, 26.300558599992655, 28.271507500001462, 29.32390829999349, 30.364699600002496, 31.26653519998945, 32.590630499995314, 34.05023509998864, 35.80193000000145, 36.73745659999258, 37.777423499996075, 38.90172110000276, 40.11319969999022, 40.92225699999835, 42.92006369998853, 44.087252999990596, 45.062554499992984, 45.91934959999344, 47.62939780000306, 48.43551359999401, 49.623827199990046, 51.44921449999674, 52.26120860000083, 53.79476799999247, 54.85661419999087, 55.941479200002505, 58.379743500001496, 58.5246133999899, 60.24983699999575, 61.71749579999596, 63.06807919999119, 64.08434970000235, 64.8094393999927, 66.43310129999008, 67.43297449999955, 69.88523459999124, 69.99659939999401, 70.98236609999731, 72.39552849999745, 73.09100760000001, 74.21719339999254, 75.02360739999858, 76.14882139999827, 77.27083389999461, 79.2815785999992, 79.95622149998962, 80.88002749999578, 82.79619149999053, 83.96523029998934, 85.14016299998912, 86.38729849999072, 87.72274749999633, 89.07707539999683, 90.40615109998907, 91.01214069999696, 92.57396049999807, 93.87635559999035, 95.28780859999824, 98.4627058999904]","['right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'left', 'right', 'space', 'right', 'space', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'space', 'left', 'right', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'space', 'space', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
1,1,JH,2,135,red,0.5,1.0,1.0,"[0.5580474000016693, 0.6388475000130711, 2.6471122999937506, 0.872330600002897, 1.6656442999956198, 1.1254234999942128, 1.2924992999905953, 1.5389483000035398, 1.2284405999962473, 1.2219757000129903, 2.5999233000038657, 2.4267281999927945, 1.4568977000017185, 1.141059799992945, 0.8198230999987572, 1.2008522999967681, 2.249315699998988, 1.4590195000055246, 1.0540042000066023, 0.9556828999920981, 2.8226147000095807, 0.48526610000408255, 2.1351441999868257, 2.3580854999891017, 2.7010590999998385, 1.4211723999906098, 0.9542302999907406, 2.9216452999971807, 4.570582500004093, 2.9942322999995667, 1.435603899997659, 1.6406205000093905, 0.8780509999924107, 2.5066119999974035, 1.4270671000122093, 1.5472723999992013, 1.134305100000347, 1.0154992000025231, 1.0805355000047712, 0.9168846999964444, 1.4235667000029935, 1.4439776000072015, 1.2745831000065664, 2.8033696000056807, 1.245566699988558, 1.2038108999986434, 2.5823662000038894, 1.168504400004167, 1.3976554999971995, 2.165124499995727, 1.50338210001064, 1.5797769000055268, 2.3650949000002583, 1.955419999998412, 1.106883900007233, 1.4301781999965897, 2.4286687999992864, 2.0229326999979094, 2.1017539000022225, 1.3127233999985037, 0.8870951999997487]","[0.9222083000058774, 1.4435446999996202, 2.0056273999944096, 2.5992051000066567, 6.098885100000189, 6.9087505000061356, 8.552924300005543, 9.61513570000534, 10.880414200000814, 12.345002700007171, 13.550134599994635, 14.67769959999714, 17.230601600007503, 19.59861620000447, 21.026775000005728, 22.03782179999689, 23.03977630000736, 24.15190700000676, 26.36944599999697, 27.768884599994635, 28.787218500001472, 29.69206299999496, 33.01434490000247, 33.482749700007844, 35.66682110000693, 37.99627970000438, 40.62081000000762, 42.05910090000543, 42.92542640000465, 45.82389359999797, 50.350654099995154, 53.29075070000545, 54.66291499999352, 56.25251930000377, 56.98910720000276, 59.42981859999418, 60.75784239999484, 62.288687000007485, 63.341712800000096, 64.31270439999935, 65.33372470000177, 66.20630049999454, 67.56012419999752, 68.97439699999813, 70.18499369999336, 72.9469950000057, 74.10155130000203, 75.26032950000081, 77.76554510000278, 78.87182430000394, 80.20849210000597, 82.30926959999488, 83.75327169999946, 85.29131830000551, 87.59665669999958, 89.51706579999882, 90.56114510000043, 91.96997220000776, 94.32832450000569, 96.30170830000134, 98.31624020000163]","['right', 'space', 'left', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']"
2,1,JH,3,45,red,0.5,1.0,2.0,"[2.545732799990219, 1.150381200000993, 3.670020799996564, 0.9744074000045657, 1.0506643999979133, 3.1020438999985345, 2.293113599997014, 3.2257085999881383, 2.401110200007679, 1.2969859000004362, 1.193780000001425, 1.668018199998187, 1.2775468000036199, 1.853628500000923, 3.1250777000095695, 1.1716290999902412, 1.2409031999995932, 4.235732399989502, 3.9293644999997923, 1.6019082000129856, 1.6366131999966456, 2.9167170000000624, 1.3028765999915777, 0.8136904999992112, 1.881364400003804, 0.7120768000022508, 2.0714096000010613, 2.202520500009996, 2.8771922000014456, 1.2489353999990271, 0.5828425999934552, 1.8689691000035964, 2.7704394000029424, 1.413042599990149, 2.383169900000212, 2.292248700003256, 0.6707643999980064, 1.655143300013151, 2.294788300001528, 1.388671599997906, 2.315181300000404, 0.4996917999960715, 1.355472200011718, 1.269836999999825, 0.989768900006311, 1.0454681999981403, 0.9781069000018761, 0.7941124999924796, 0.9379579999949783, 0.48401709999598097, 1.0686894999962533, 0.9104029000009177, 1.185247099987464, 0.8815190000022994, 0.7642254999955185, 1.4638871000061044, 0.7522578999924008, 1.1232942000060575, 1.2211700000043493, 1.1609656999935396, 1.6508390999952098, 2.2042094000062207]","[1.9263013000017963, 1.3100151000107871, 3.8414560000092024, 4.938888100004988, 8.56243770000583, 9.468103999999585, 10.5128534000105, 13.539316900001722, 15.781226500010234, 18.944183100000373, 21.282275300007313, 22.490138900000602, 23.019807900011074, 24.654969499999424, 25.863871699999436, 27.6940093000012, 30.7634398000082, 31.890435300010722, 33.06832420000865, 37.27050810000219, 41.11723119999806, 42.66232420000597, 44.19485150001128, 47.066722400006256, 48.309794100001454, 49.08112020000408, 50.8943328000023, 51.55916390000493, 53.568149200000335, 55.729907900007674, 58.54138090000197, 59.778812500007916, 60.405191099998774, 62.16642720000527, 64.63184310001088, 65.99551300000167, 68.30976220000593, 70.54114430000482, 71.14768429999822, 72.73921189999965, 75.02960449999955, 76.35577300000296, 78.63739240000723, 79.0932662999985, 80.3792844999989, 81.6274046000035, 82.55844520000392, 83.57218040000589, 84.52192510000896, 85.31950140000845, 86.19776700000511, 86.64246020000428, 87.62424289999763, 88.51171830001113, 89.62568670000474, 90.46409760000824, 91.14342160000524, 92.54533800001082, 93.26667850000376, 94.2743785000057, 95.44880930001091, 96.51082550000865]","['right', 'space', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'space', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left']"
3,1,JH,4,135,red,0.5,1.0,3.0,"[0.8015963999932865, 0.8224556999921333, 0.3056336999870837, 0.47361349999846425, 0.7405049999943003, 0.6703464000020176, 0.8292694999981904, 0.5920257999969181, 0.13820650000707246, 4.113507299989578, 1.3141907000099309, 2.9952046999969753, 1.9199916000070516, 1.2718246000004, 1.6774393999949098, 1.645429399999557, 3.770279699994717, 2.3092988999997033, 2.0099073000019416, 2.3282804999907967, 1.3444718999962788, 1.5065850999963004, 0.9429780000064056, 0.6360786000004737, 2.5873559000028763, 1.172677599999588, 1.8037188000016613, 1.3516840999945998, 1.1086645999894245, 1.020961599992006, 1.6080146000022069, 1.5378365999931702, 1.9036560999957146, 2.584633799997391, 1.6474658999941312, 1.240977399997064, 0.43351289999554865, 5.381929900002433, 0.821902499999851, 1.8770128000032855, 0.54322890000185, 1.480369700002484, 2.0725368999992497, 2.3677913999999873, 1.5162954999977956, 2.4959860000089975, 1.5707314000028418, 0.4468011999997543, 4.674204599999939, 0.5588231000001542, 0.8090463999978965, 1.1567527000006521, 1.1412678000051528, 1.274092000006931, 1.3411349999951199, 0.9260310999961803, 1.277893500009668, 3.7556459000043105, 0.5865305000043008, 0.8323835000046529, 1.4475253999989945, 3.2964691999950446, 0.7817275999987032, 1.060136500003864]","[0.7510512999870116, 1.204448999997112, 1.9054547999985516, 2.693129899998894, 3.617488699994283, 4.089561799992225, 4.802727999995113, 5.390104499994777, 6.182601499996963, 6.734050499988371, 6.776063199999044, 11.015728499987745, 12.25522490000003, 15.21501579998585, 17.04411259999324, 18.27418829999806, 19.875672799986205, 21.474081199994544, 25.159166399986134, 27.423258799986797, 29.336049899997306, 31.59121959999902, 32.82856739999261, 34.272058499991545, 35.1375793999905, 35.75552719998814, 38.2019411999936, 39.27191459998721, 41.042381399995065, 42.29203979999875, 43.362340399995446, 44.27992639999138, 45.85464469999715, 47.31404499999189, 49.17394909998984, 51.698856699993485, 53.33892329999071, 54.50138529999822, 54.9929443999863, 60.36237699999765, 61.189691399995354, 63.07624759999453, 63.5422208999953, 64.99357829999644, 66.97594529998605, 69.30622949999815, 70.72667959998944, 73.2513212999911, 74.73667409998598, 75.14421759999823, 79.82714949999354, 80.3638360999903, 81.12054519999947, 82.20426029998634, 83.31098889998975, 84.49500559999433, 85.76194949999626, 86.60879629998817, 87.81366099999286, 92.43347179998818, 93.49874899999122, 94.2803000999993, 95.70957229999476, 98.8545438000001]","['right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'left', 'space', 'right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'space', 'left', 'right', 'space']"
