topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,45,0.5,0,0,0,1,cut off by trial end,[6.894615625002189],[0.4920887910120655],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fd140a43ac0>],0.03171091599506326,9.017267415998504,"[['right', 20.8860072499956]]",0,cut off by trial end,"[0.484621417010203, 0.5507257909921464, 0.47239291699952446, 0.6521340000035707, 0.6078002910071518, 0.5632003329810686, 0.7339573749923147, 0.8422197090112604]","[0.6064440409827512, 1.0691407079866622, 1.6077641239971854, 2.0467574989888817, 2.665140832978068, 3.2392060830025002, 3.778790623997338, 4.489160373981576]","['left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd140a43400>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a43370>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a43c10>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a43fd0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a439a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140af4ac0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140af42b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140af4e80>]",9.050771707989043,16.0503626249847,"[['left', 27.88013708300423], ['right', 27.880507624999154], ['left', 27.881120667007053], ['right', 27.881509333004942], ['left', 27.882064875011565], ['right', 27.882606750004925], ['left', 27.883148958004313], ['right', 27.88370141701307]]",0,1,101,
red,45,0.5,0,1,1,0,cut off by trial end,[6.9860997080104426],[0.5081926670100074],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fd140a3dca0>],19.759204040979967,28.750530624995008,"[['down', 33.58305658301106], ['right', 40.58938820799813]]",0,cut off by trial end,"[0.47154312499333173, 0.723457292013336, 0.6183601249940693, 0.686224041011883, 0.6409494999970775, 0.6647412919846829, 0.7203640420048032, 0.5046147079847287]","[0.516829873988172, 0.9543250409769826, 1.653382332995534, 2.2374902079754975, 2.8907001659972593, 3.508051748998696, 4.162082790979184, 4.848364790988853]","['left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2d610>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2d3a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2d9d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2d370>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2dee0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b060a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06a90>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06160>]",28.783918832981726,35.78380379098235,"[['left', 47.613279083016096], ['right', 47.61363745800918], ['left', 47.61425858299481], ['right', 47.61483304199646], ['left', 47.615375916997436], ['right', 47.615920250013005], ['left', 47.61646637500962], ['right', 47.61703049999778]]",0,1,101,
red,135,0.5,0,2,2,2,,"[0.09006116699310951, 4.3748787909862585]","[0.2583829990180675, 1.1370833330147434]","['down', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2e3a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06bb0>]",38.85106404099497,47.85057808298734,"[['down', 50.130429458018625], ['down', 59.68930879200343], ['right', 59.68983866699273]]",0,,"[0.3520439999992959, 0.4372239160002209, 0.3605219169985503, 0.4018803330254741, 0.3858008749957662, 0.4146597500075586, 0.38452241697814316, 0.659868082992034, 0.5068530410062522, 0.5512528750114143]","[0.5511794160120189, 0.8901847500237636, 1.3396664160245564, 1.7140329579997342, 2.0923922500223853, 2.454341041011503, 2.8235675410251133, 3.221569333021762, 3.8252625000022817, 4.319899833004456]","['right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06520>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06d30>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06670>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06640>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2d6d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2dca0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2dd90>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2d760>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b0ea90>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b0ed00>]",47.88443949999055,54.88409712500288,"[['right', 66.71372625001823], ['left', 66.71414029199514], ['right', 66.71467124999617], ['left', 66.71505312499357], ['right', 66.71530591699411], ['left', 66.71565800000099], ['right', 66.71601075000945], ['left', 66.71645841700956], ['right', 66.71690374999889], ['left', 66.71726408301038]]",0,1,101,
blue,135,0.5,0,3,3,3,cut off by trial end,[6.873615582997445],[0.5148559999943245],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06550>],58.428424415993504,67.41753466599039,"[['down', 72.2522626669961], ['left', 79.25773974999902]]",0,,"[0.19171429201378487, 0.2147388330195099, 0.13501050000195391, 0.1364903750072699, 0.09955483398516662, 0.07909758301684633, 0.29060549999121577, 0.10253233299590647, 0.1350490000040736, 0.09006995800882578, 0.13441362499725074, 0.12380549998488277, 0.2687762090063188, 0.1936745830171276, 0.35847279100562446]","[0.6384864579886198, 0.8071178749960382, 0.9983600419946015, 1.145582666998962, 1.2699059580045287, 1.494552666990785, 1.3842626250116155, 1.6879088749992661, 1.7760952500102576, 1.9353824999998324, 2.0123696670052595, 2.2586473330156878, 2.394586957991123, 2.6755238749901764, 2.856117416988127]","['right', 'left', 'right', 'left', 'right', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd140a2b820>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b0e0d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b0e460>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b0ef40>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b0e8b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b0e820>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b0ee50>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06c70>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06e80>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06e20>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06580>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06af0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140b06490>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140af4e20>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd140af4430>]",67.45095754097565,74.450612790999,"[['right', 86.2803474579996], ['left', 86.28070745800505], ['right', 86.28110474999994], ['left', 86.28158754200558], ['right', 86.28183849999914], ['left', 86.28230633301428], ['right', 86.2825567079999], ['right', 86.28304262500023], ['left', 86.28328854200663], ['right', 86.28375766699901], ['left', 86.28400354200858], ['right', 86.28446762499516], ['left', 86.2848268749949], ['right', 86.2851727080124], ['left', 86.28543350001564]]",0,1,101,
