topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,45,0.5,0,0,0,1,cut off by trial end,[14.300476000003982],[1.1443269160226919],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fa1eb9eea60>],0.024906666949391365,17.01648229197599,"[['right', 30.079539500002284]]",1,cut off by trial end,[4.445149125007447],[0.9961093330057338],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fa1eb9db9d0>],30.264430874958634,37.25017449998995,"[['down', 45.281754540978], ['right', 50.292213874985464]]",0,1,99,
blue,135,0.5,0,1,1,3,cut off by trial end,[14.393355833017267],[1.0966492909938097],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fa1eb9db460>],49.25041612499626,66.2502261250047,"[['down', 64.27025391597999], ['left', 79.27935816597892]]",0,cut off by trial end,"[1.5440001250244677, 0.05986262497026473, 2.0319862909964286, 0.7440196669776924]","[1.1486429159995168, 2.7767429160303436, 2.684712624992244, 4.708804208028596]","['right', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba81cd0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba010d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba01be0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba01880>]",68.65727574995253,75.65084849996492,"[['down', 83.67719399998896], ['right', 88.68466924998211], ['left', 88.68526095798006], ['right', 88.68565704097273], ['right', 88.68609266600106]]",0,1,99,
red,135,0.5,0,2,2,2,cut off by trial end,[14.861593750014435],[0.6269381250021979],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fa1eb9f6400>],79.23655791697092,96.23370479198638,"[['down', 94.2582839159877], ['right', 109.26448745798552]]",0,cut off by trial end,"[1.631945375003852, 1.4242652919492684, 1.24816220800858, 0.6719068749807775]","[0.7357429160038009, 2.3316560410312377, 3.5758021660149097, 4.775954083015677]","['left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fa1eb9ee0d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eb9ee190>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eb9f6190>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eb9f6c40>]",97.62551570899086,104.61742795899045,"[['down', 112.64711212494876], ['left', 117.65377158299088], ['right', 117.65440162498271], ['left', 117.6550234159804], ['right', 117.65559358295286]]",0,1,99,
red,45,0.5,0,3,3,0,cut off by trial end,"[2.3042508339858614, 1.7680309580173343, 1.5519414170412347, 1.5958455419749953, 1.6001345830154605, 1.640020333987195, 1.5640897499979474, 1.4601530419895425, 1.4919690000242554, 0.37584712501848117]","[0.5120679159881547, 2.744353832968045, 4.456401290954091, 5.9724926659837365, 7.532415332971141, 9.08066791598685, 10.688691499992274, 12.20873583300272, 13.628833665978163, 15.06090708298143]","['right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fa1eb9eed30>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba81fa0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba7cc10>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba7c460>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba01310>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba01040>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba01430>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba01ac0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba01d00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba012b0>]",108.18541737500345,125.18456558400067,"[['down', 123.20716604095651], ['right', 138.21314595796866], ['left', 138.2138154579443], ['right', 138.21445133298403], ['left', 138.21501483296743], ['right', 138.21556116599822], ['left', 138.2161192909698], ['right', 138.21675279096235], ['left', 138.21732279099524], ['right', 138.21788854099577], ['left', 138.2783546249848]]",0,cut off by trial end,"[1.4480629590107128, 1.3599908330361359, 2.012079250009265]","[0.6774321660050191, 2.0974799999967217, 3.417444874998182]","['left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba01850>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba05160>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa1eba05d00>]",125.95980933395913,132.9510180419893,"[['down', 140.98139104095753], ['left', 145.98755183297908], ['right', 145.98816433298634], ['left', 145.98877237498527]]",0,1,99,
