topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,45,0.5,0,0,0,1,cut off by trial end,[6.986725499999011],[0.4560199999832548],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fbb54676b50>],0.03143400000408292,9.016414666984929,"[['left', 23.273157375020673]]",0,cut off by trial end,"[0.5980018329864834, 0.9658779590099584, 0.8447490829857998, 0.9117817499791272, 0.9577707079879474, 0.6849590410129167]","[0.5297990000108257, 1.1034872909949627, 2.0356998330098577, 2.8573462500062305, 3.7569534580106847, 4.669745999999577]","['right', 'left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbb54400c70>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb544156d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54415a30>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb544150a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb544159d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54415e20>]",9.048996625002474,16.032264542009216,"[['right', 30.262766375002684], ['left', 30.263345083018066], ['right', 30.263953832996776], ['left', 30.26453841701732], ['right', 30.26511787500931], ['left', 30.265678875002777]]",0,3,99,
blue,135,0.5,0,1,1,3,cut off by trial end,[6.8635824999946635],[0.5058071670064237],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688f70>],19.826281957997708,28.815997375000734,"[['down', 36.03433504200075], ['right', 43.04007058299612]]",0,cut off by trial end,"[0.9438174160022754, 1.092590249987552, 0.9307629999821074, 0.8894601250067353, 0.878730500000529, 0.4721985000069253]","[0.506696041993564, 1.3490983750089072, 2.353062125010183, 3.227563624997856, 4.071684416994685, 4.882908917003078]","['left', 'right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbb546880a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688e20>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688df0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb546885e0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688610>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688190>]",28.84937899999204,35.84907724999357,"[['left', 50.062901083001634], ['right', 50.063473375019385], ['left', 50.06408683300833], ['right', 50.06463000000804], ['left', 50.06517425001948], ['right', 50.06571175000863]]",0,3,99,
red,45,0.5,0,2,2,0,cut off by trial end,[6.931636209017597],[0.46076729099149816],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fbb544141c0>],39.41232612499152,48.399467542010825,"[['down', 55.62028166701202], ['right', 62.63380483302171]]",0,cut off by trial end,"[0.7987763749842998, 1.036841082997853, 0.8417874999868218, 0.9903382920019794, 0.9558778749778867, 0.6855647919874173]","[0.3895261239958927, 1.1448274579888675, 2.1689535829937086, 2.966733123990707, 3.9448906239995267, 4.811362415988697]","['left', 'right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688940>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688670>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688820>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688b20>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54688d00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb5440fa90>]",48.43856775001041,55.43269716700888,"[['left', 69.65206791702076], ['right', 69.65290450002067], ['left', 69.65350562499953], ['right', 69.65406212501694], ['left', 69.65461050000158], ['right', 69.65516287501669]]",0,3,99,
red,135,0.5,0,3,3,2,cut off by trial end,[6.8511945419886615],[0.4713069160061423],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fbb546762e0>],58.90956100000767,67.89947679199395,"[['down', 75.11750345802284], ['right', 82.12362983301864]]",0,cut off by trial end,"[0.9450174999947194, 1.1362189580104314, 0.9115471669938415, 0.9235854999860749, 1.180883041000925]","[0.36868833299377, 1.257458082982339, 2.349722707993351, 3.2489340000029188, 4.149097249988699]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbb546762b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54676130>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54676a60>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb546765e0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbb54676700>]",67.93293599999743,74.93289249998634,"[['left', 89.1465361250157], ['right', 89.14712249999866], ['left', 89.14774495799793], ['right', 89.14829787501367], ['left', 89.14884216702194]]",0,3,99,
