topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,45,0.5,0,0,0,1,cut off by trial end,[5.000463374948595],[0.4050183330546133],['w'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fc0689c3400>],0.021365833992604166,7.017364792001899,"[['w', 18.21126037504291]]",1,1,99,
red,45,0.5,0,1,1,0,cut off by trial end,"[1.9401087500154972, 1.7285831249901094, 0.7399099169997498]","[1.102265499997884, 3.0183330409927294, 4.742485790979117]","['right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fc0689b0670>, <psychopy.hardware.keyboard.KeyPress object at 0x7fc0689c3970>, <psychopy.hardware.keyboard.KeyPress object at 0x7fc0689c35e0>]",16.488820250029676,23.48391700000502,"[['down', 24.108736000023782], ['down', 29.667948417016305], ['right', 34.67496320803184], ['left', 34.6755607080413], ['right', 34.67617825005436]]",0,1,99,
blue,135,0.5,0,2,2,3,cut off by trial end,"[1.6961076249717735, 1.132177000050433, 1.376130375021603, 0.252113291004207]","[1.1447800419991836, 2.792834749969188, 3.9011094169691205, 5.256987166998442]","['right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fc07ce5efa0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fc0689d6fd0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fc0689d63d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fc0689d6970>]",35.76441145903664,42.7506241670344,"[['down', 41.45183504204033], ['down', 48.943054583040066], ['right', 53.950251166999806], ['left', 53.95082862500567], ['right', 53.95145345805213], ['left', 54.22013737499947]]",0,1,99,
red,135,0.5,0,3,3,2,cut off by trial end,"[1.5721119579975493, 0.8882095830049366]","[3.7517996670212597, 5.303847500006668]","['left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fc0689c3100>, <psychopy.hardware.keyboard.KeyPress object at 0x7fc0689c3d30>]",48.6499809169909,55.63412241701735,"[['down', 59.75339300004998], ['down', 61.82913362502586], ['left', 66.83566866704496], ['right', 67.15330612502294], ['left', 67.9873540000408]]",0,1,99,
