topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,135,0.5,0,0,0,3,cut off by trial end,"[1.063290749967564, 1.2681609590072185, 1.3121889589820057, 1.260152333008591]","[0.6101879579946399, 1.609462207998149, 2.8135143329855055, 4.057626541994978]","['right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7faa4d613790>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d613c40>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d613730>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d613a90>]",0.02654079196508974,7.0153644169913605,"[['right', 20.951521583017893], ['left', 20.952608500025235], ['right', 20.95326679199934], ['left', 20.953994083043654]]",,1,99,
blue,45,0.5,0,1,1,1,cut off by trial end,"[1.1479423340060748, 1.1040740000316873, 1.03991908300668, 1.0360237080021761, 0.7481056670076214, 0.14409262500703335]","[0.6214399579912424, 1.73342587496154, 2.745570792001672, 3.713503375009168, 4.729535999998916, 6.00873987498926]","['left', 'right', 'left', 'right', 'left', 'down']","[<psychopy.hardware.keyboard.KeyPress object at 0x7faa4d6008e0>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d6000a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d600040>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d600c40>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d600a00>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa389b3f40>]",10.859759791987017,17.848911624983884,"[['right', 26.754963250015862], ['down', 26.755503125023097], ['left', 31.762999708007555], ['right', 31.76358079200145], ['left', 31.764183041988872], ['right', 31.764823957986664], ['left', 31.765373292029835], ['down', 32.78558525000699]]",,1,99,
red,135,0.5,0,2,2,2,cut off by trial end,"[3.4483026249799877, 0.11986537504708394]","[0.14656745799584314, 5.724506540980656]","['w', 'down']","[<psychopy.hardware.keyboard.KeyPress object at 0x7faa4d613910>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d6137c0>]",21.55280354199931,28.54896808398189,"[['down', 37.45046095800353], ['w', 42.46627862501191], ['down', 43.18603483302286]]",Irregular button presses,1,99,
red,45,0.5,0,3,3,0,cut off by trial end,"[0.06804074998944998, 1.6561653329990804, 0.6920720000052825, 0.1480382090085186]","[0.48499125003581867, 1.6934183340054005, 4.769354459014721, 5.670930500025861]","['e', 'e', 'e', 'down']","[<psychopy.hardware.keyboard.KeyPress object at 0x7faa4d81e460>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d81eb50>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d81ee20>, <psychopy.hardware.keyboard.KeyPress object at 0x7faa4d81eca0>]",32.132811124960426,39.132349458988756,"[['down', 48.03038712503621], ['e', 53.03637216700008], ['e', 53.037339583039284], ['e', 53.14282891701441], ['down', 53.72477266698843]]",Irregular button presses,1,99,
