topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,135,0.5,0,0,0,3,cut off by trial end,"[1.8752540409914218, 2.660161625011824, 0.5520901249838062]","[0.5364933750242926, 2.3438467499800026, 4.955903708003461]","['left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fcf016bb700>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf016bb070>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf23c8f310>]",0.02399004198377952,7.015492458012886,"[['left', 18.183551000023726], ['right', 18.18460412498098], ['left', 18.185251332994085]]",0,1,99,
blue,45,0.5,0,1,1,1,cut off by trial end,"[1.4721759580424987, 1.1600277499528602, 2.0282354580122046]","[0.712281082989648, 2.1844570410321467, 3.3165293330093846]","['right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fcf016a8a00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf016bba00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf23c8fbb0>]",10.715806125022937,17.71524483297253,"[['down', 23.860596832993906], ['right', 28.86644770798739], ['left', 28.867183417023625], ['right', 28.867674999986775]]",0,1,99,
red,45,0.5,0,2,2,0,cut off by trial end,"[0.035841832985170186, 1.2001562910154462, 1.2239463749574497, 0.6798620420158841, 0.12014641694258898]","[0.5286704580066726, 0.6566928749671206, 1.8289209160138853, 4.65950204100227, 5.694610916019883]","['left', 'right', 'left', 'left', 'down']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fcf016bbd00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf23c602b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf016a82b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf016a8910>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf23c8eb50>]",21.14674187498167,28.132031958026346,"[['down', 34.29148608300602], ['left', 39.29733854200458], ['right', 39.29782779200468], ['left', 39.29833158303518], ['left', 39.29904616699787], ['down', 39.999913042003755]]",0,1,99,
red,135,0.5,0,3,3,2,cut off by trial end,"[2.660108207957819, 1.2039622499723919, 0.15597095800330862, 0.607908166013658]","[0.8689670420135371, 3.4930950420093723, 4.657051374961156, 4.745136666984763]","['left', 'right', 'left', 'space']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fcf016c3250>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf016c3580>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf016c3880>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcf016c3a60>]",31.199194416985847,38.19868700002553,"[['down', 41.69955270801438], ['left', 49.34967812499963], ['right', 49.35026262502652], ['left', 49.350873332994524], ['space', 49.35327537503326]]",0,1,99,
