topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,135,0.5,0,0,0,3,cut off by trial end,"[0.08985862499685027, 0.25741487499908544, 0.07839962499565445, 0.06703945799381472, 0.0676761670038104, 0.07828645900008269, 0.07820058401557617, 3.9599182920064777]","[0.7818167489895131, 0.9969099989975803, 2.515953998983605, 2.6832871660008095, 2.85169041599147, 3.0216358739999123, 3.179496748984093, 3.583211790974019]","['up', 'left', 'f11', 'f11', 'f11', 'f11', 'f11', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7fc220>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7fca00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7e87f0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7e8910>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7e8a30>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7e8ac0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7e8f70>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7e8af0>]",0.02836412499891594,9.017558499996085,"[['up', 24.4620339590183], ['left', 24.46293545901426], ['left', 24.464123209007084]]",1,cut off by trial end,"[1.0584708749956917, 1.1027199999953154, 0.764781874982873, 1.2814933749905322, 0.8887968749913853]","[0.570215248997556, 1.583351166016655, 2.6289568740176037, 3.3275877910200506, 4.519114499009447]","['right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c0550>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c0f70>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c0340>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c0d60>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c0100>]",10.60114241600968,17.600081166019663,"[['down', 27.991614459024277], ['right', 32.9980596670066], ['left', 32.9986360000039], ['right', 32.99923970902455], ['left', 32.99980187500478], ['right', 33.00035154202487]]",0,1,99,
red,135,0.5,0,1,1,2,cut off by trial end,[6.918902957986575],[0.438654083001893],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7f7760>],21.30896345799556,30.30038699999568,"[['down', 38.69990979201975], ['left', 45.70588991700788]]",0,cut off by trial end,"[1.0470958329970017, 1.1472022499947343, 1.3647361249895766, 1.258652208984131]","[0.6033642079855781, 1.6386452080041636, 2.6957223750068806, 4.03609641600633]","['right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c0280>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c8c40>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c84f0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c8430>]",30.333930791006424,37.333485540992115,"[['right', 52.73088058401481], ['left', 52.73145929200109], ['right', 52.73205337501713], ['left', 52.7326218340022]]",0,1,99,
red,45,0.5,0,2,2,0,cut off by trial end,"[0.045354416011832654, 0.9786885410139803, 0.608336415985832, 1.4830663329921663, 3.3298052919853944]","[0.41299683300894685, 0.9658079580112826, 1.899873208021745, 2.4847920410102233, 4.069564749021083]","['down', 'left', 'right', 'left', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7f7220>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8ae8e0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8aeeb0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8ae130>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8aeca0>]",40.40171366601135,49.383915540995076,"[['down', 55.19743550001294], ['down', 64.79897087501013], ['left', 64.79946633402142], ['right', 64.79995862502255], ['left', 64.80054145900067], ['left', 64.80121387500549]]",0,cut off by trial end,"[0.9796792920096777, 1.1924027919885702, 0.8995659159845673, 1.3393203750019893, 0.5976856670167763]","[0.5993596659973264, 1.5556081240065396, 2.7034238330088556, 3.5584589579957537, 4.806848248990718]","['right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8aee80>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8d4760>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8d4df0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8d4970>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8d4d60>]",49.41777749999892,56.417209375009406,"[['right', 71.81466104200808], ['left', 71.81523841700982], ['right', 71.81587325001601], ['left', 71.81643066700781], ['right', 71.81700245902175]]",0,1,99,
blue,45,0.5,0,3,3,1,cut off by trial end,[6.828582916990854],[0.4719581239914987],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7fd3d0>],60.120109540992416,69.11790437501622,"[['down', 77.51140925000072], ['right', 84.51713929200196]]",0,cut off by trial end,"[0.8084052500198595, 0.7878526670101564, 0.990639417024795, 0.9239650419913232, 0.9677553749934305, 0.2939042499929201]","[0.79058304199134, 1.554021207994083, 2.2968078749836423, 3.2752758330025245, 4.15254912499222, 5.086763625004096]","['left', 'right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c8130>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c8cd0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7fca90>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc7fc6a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c0df0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fbcdc8c0fd0>]",69.1516787080036,76.15081329099485,"[['left', 91.54859079202288], ['right', 91.54916837500059], ['left', 91.54976562500815], ['right', 91.55033195900614], ['left', 91.55090450000716], ['right', 91.6483301250264]]",0,1,99,
