topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,135,0.5,0,0,0,3,cut off by trial end,[6.988268874993082],[0.46595420804806054],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7f939c37b730>],0.02287820802303031,9.018432083015796,"[['left', 20.4440633750055]]",0,cut off by trial end,"[0.2560792500153184, 4.128162749984767]","[0.6419592910096981, 1.3110675410134718]","['right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f9388968f70>, <psychopy.hardware.keyboard.KeyPress object at 0x7f938896a5e0>]",9.050222542020492,16.033566917001735,"[['right', 27.458632333029527], ['left', 27.459127875044942]]",0,1,99,
blue,45,0.5,0,1,1,1,cut off by trial end,[6.908329624973703],[0.5155672079999931],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7f9388968be0>],19.54564141703304,28.533400707994588,"[['down', 32.948318125039805], ['left', 39.95395487500355]]",0,cut off by trial end,"[1.6601350829587318, 3.2960379170253873]","[0.4925196660333313, 2.1445909989997745]","['right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f939c38d850>, <psychopy.hardware.keyboard.KeyPress object at 0x7f939c37b850>]",28.567335167026613,35.56685995799489,"[['right', 46.97557420801604], ['left', 46.976167000015266]]",0,1,99,
red,45,0.5,0,2,2,0,cut off by trial end,[6.984249250032008],[0.4939592909649946],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7f939c395a30>],39.38048816699302,48.36728866701014,"[['down', 52.78311462502461], ['right', 59.78894091601251]]",0,cut off by trial end,"[4.032128791965079, 0.7880179170169868]","[0.6821534159826115, 4.6822902909480035]","['right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f939c395160>, <psychopy.hardware.keyboard.KeyPress object at 0x7f939c395d00>]",48.40064900001744,55.40064233302837,"[['right', 66.80913387500914], ['left', 66.80983362504048]]",0,1,99,
red,135,0.5,0,3,3,2,cut off by trial end,"[1.6159785829950124, 1.4640669579966925, 1.1280358749791048, 2.4321019999915734, 0.5681097500491887]","[0.494784000038635, 2.0667414580238983, 3.4868425000458956, 4.554914666048717, 7.104741582996212]","['right', 'left', 'right', 'left', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f9388953d30>, <psychopy.hardware.keyboard.KeyPress object at 0x7f9388953e50>, <psychopy.hardware.keyboard.KeyPress object at 0x7f9388963c10>, <psychopy.hardware.keyboard.KeyPress object at 0x7f9388963be0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f9388963cd0>]",59.09948274999624,68.08331895800075,"[['down', 72.5019217079971], ['right', 79.50793841603445], ['left', 79.508546750003], ['right', 79.50914791604737], ['left', 79.50970900000539], ['left', 79.62544045801042]]",1,cut off by trial end,"[1.5198476249934174, 0.9880547919892706, 1.4518664589850232, 1.019931834016461]","[0.5595177920185961, 2.0473894579918124, 2.9994815830141306, 4.399540457990952]","['left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f939c395df0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f939c3957f0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f939c3a03d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f939c3a0070>]",69.45758837502217,76.45043783303117,"[['down', 82.85864108300302], ['left', 87.86569687502924], ['right', 87.86628791602561], ['left', 87.86690504103899], ['right', 87.86747537500923]]",0,1,99,
