topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,45,0.5,0,0,0,1,cut off by trial end,[14.089381291996688],[1.4788195000146516],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fd0d459eb80>],0.03171266597928479,17.016256291011814,"[['right', 29.0627684170031]]",0,cut off by trial end,"[0.37991833401611075, 1.1921508749946952, 1.2881683749728836, 1.3399365419754758, 0.11615416698623449]","[1.224888124037534, 1.6008509160019457, 2.744886374042835, 4.00106774904998, 5.31299729103921]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd0d458b190>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d458b880>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d458ba00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d458b8e0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d458b6d0>]",17.049591000017244,24.04950025002472,"[['left', 36.054282500001136], ['right', 36.054838000040036], ['left', 36.05550383403897], ['right', 36.05610091704875], ['left', 36.371563042048365]]",0,1,99,
red,45,0.5,0,1,1,0,cut off by trial end,"[10.270647790981457, 4.59599875001004]","[0.6189278329838999, 10.888413207954727]","['right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd0d459efa0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d459e160>]",27.94399058300769,44.93330362503184,"[['down', 41.9426360000507], ['right', 56.95098083402263], ['left', 56.951625834044535]]",0,cut off by trial end,"[0.09602495899889618, 0.04395674995612353, 1.4080642079934478, 1.716148083040025, 1.4880115830455907, 0.0759602920152247]","[0.5083479990134947, 0.6917799990042113, 0.9549940829747356, 2.311038040963467, 3.871107207960449, 5.319129915966187]","['right', 'left', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd0d4632550>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d462ca00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d459ed90>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d459e0a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d459ef70>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d459e100>]",44.96676862501772,51.96653320803307,"[['right', 63.97180950001348], ['left', 63.972361834021285], ['left', 63.97280358400894], ['right', 63.973286834021565], ['left', 63.97385445900727], ['right', 64.30466070905095]]",0,1,99,
red,135,0.5,0,2,2,2,cut off by trial end,"[11.793474500009324, 0.9760163750033826, 0.9879789170227014]","[1.0419379160157405, 13.415202873991802, 14.371196915977634]","['right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd0d458b9a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d458b5b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d461ca30>]",55.6331535410136,72.6164909999934,"[['down', 69.63188291701954], ['right', 84.63779379200423], ['left', 84.63857058400754], ['right', 84.63907233404461]]",0,cut off by trial end,"[0.9358207500190474, 0.9802969999727793, 2.251912333013024]","[1.2858944989857264, 2.205650999036152, 3.1898989580222405]","['right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd0d46310a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d4631fa0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d4632940>]",72.65005604102043,79.63352124998346,"[['right', 91.65439345902996], ['left', 91.65500270901248], ['right', 91.65574370900868]]",0,1,99,
blue,135,0.5,0,3,3,3,cut off by trial end,"[1.7921306660282426, 12.76131999999052]","[0.6859292080043815, 2.593459291034378]","['left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd0d45a6e50>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d45a6670>]",83.40209895803127,100.40026783302892,"[['down', 97.40076329204021], ['left', 112.40659762499854], ['right', 112.4073281250312]]",0,cut off by trial end,"[1.4721197079634294, 2.70020875002956, 0.27188662497792393]","[1.2245843330165371, 2.644748582970351, 5.3128283330006525]","['right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fd0d4632ac0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d4631ee0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fd0d462ccd0>]",100.43403695803136,107.43378837499768,"[['right', 119.43902145902393], ['left', 119.43966645904584], ['right', 119.7546419170103]]",0,1,99,
