topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,135,0.5,0,0,0,3,cut off by trial end,[6.784359165991191],[0.6226129170099739],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7f94ac87dbe0>],0.03195874998345971,9.016426707996288,"[['left', 23.969084457989084]]",0,cut off by trial end,"[1.1234419580141548, 1.237450958986301, 1.2269342499785125, 1.1481790830148384, 0.04602737500681542]","[0.6398425829829648, 1.72954674900393, 2.9336082490044646, 4.126216957985889, 5.263215290993685]","['right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f94ac882ca0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac882670>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac86e7c0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac86eac0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac86e340>]",9.049823499983177,16.049656916991808,"[['right', 30.96165966600529], ['left', 30.962239957996644], ['right', 30.96283754101023], ['left', 30.963418333005393], ['right', 31.2282839580148]]",0,1,99,
red,45,0.5,0,1,1,0,cut off by trial end,"[0.05601529200794175, 6.762318749999395]","[0.49810691599850543, 0.6553175410081167]","['left', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f94ac882c40>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac8823a0>]",19.810393874999136,28.799613374983892,"[['down', 36.71653395800968], ['left', 43.72232645799522], ['left', 43.7230195410084]]",0,cut off by trial end,"[1.1812318340234924, 1.068506959010847, 1.1247820830030832, 1.0669265830074437, 0.5850783329806291]","[0.46501041599549353, 1.6124855410016607, 2.6583370830048807, 3.7390153750020545, 4.772173958015628]","['right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f94ac86d6d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac86dca0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac883d30>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac883b20>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac8830a0>]",28.83342895799433,35.83307979197707,"[['right', 50.74518920801347], ['left', 50.74576116600656], ['right', 50.74636950000422], ['left', 50.74693766600103], ['right', 50.74749158299528]]",0,1,99,
blue,45,0.5,0,2,2,1,cut off by trial end,[6.850969874998555],[0.5237122910039034],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7f94991144f0>],39.6646332499804,48.649896624992834,"[['down', 56.5706796250015], ['right', 63.57654874998843]]",0,cut off by trial end,"[1.0553629999922123, 1.045899290998932, 1.1033580410003196, 1.280939334013965, 0.6303906670073047]","[0.5737160829885397, 1.616900249995524, 2.5847082499822136, 3.65432779098046, 4.867661915981444]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f94ac882280>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac882220>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac882fd0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac882880>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac86edc0>]",48.68394108299981,55.68350787498639,"[['left', 70.59575591600151], ['right', 70.59644229098922], ['left', 70.59707179100951], ['right', 70.5976234159898], ['left', 70.5981602910033]]",0,1,99,
red,135,0.5,0,3,3,2,cut off by trial end,[6.919083999993745],[0.4509597079886589],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7f94ac882970>],59.34434824998607,68.33378287497908,"[['down', 76.25062204099959], ['left', 83.25676883300184]]",0,cut off by trial end,"[1.171331833989825, 1.2026704169984441, 1.1927601660136133, 1.3291227919980884, 0.12225695900269784]","[0.5177766240085475, 1.6651077910210006, 2.8112487079924904, 3.947453666012734, 5.2205761240038555]","['right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f94ac86dd60>, <psychopy.hardware.keyboard.KeyPress object at 0x7f94ac86d580>, <psychopy.hardware.keyboard.KeyPress object at 0x7f9499114280>, <psychopy.hardware.keyboard.KeyPress object at 0x7f9499114cd0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f9499114ee0>]",68.36913408298278,75.36677379198954,"[['right', 90.2810004579951], ['left', 90.28161837501102], ['right', 90.28224649999174], ['left', 90.28281150001567], ['right', 90.51263879099861]]",0,1,99,
