topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
red,135,0.5,0,0,0,2,cut off by trial end,[7.009920958982548],[0.46396799900685437],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fe370a03df0>],0.045902457990450785,9.033325500000501,"[['right', 24.61563404201297]]",0,cut off by trial end,"[0.9222276659857016, 1.3506529580045026, 1.360739249998005, 1.216314583987696]","[0.7398930000199471, 1.5495977080136072, 2.832778125011828, 4.159411166008795]","['left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fe3709fe340>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe3709feac0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a034f0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a03190>]",9.073652999999467,16.06679375001113,"[['left', 31.596577999996953], ['right', 31.59718745900318], ['left', 31.59782600001199], ['right', 31.598390792001737]]",0,4,99,
blue,135,0.5,0,1,1,3,cut off by trial end,"[6.884590500005288, 0.20015366698498838]","[0.45914329099468887, 8.076118916011183]","['right', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fe370a03700>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe3709fe880>]",19.795559249992948,28.78386391600361,"[['down', 37.31276345902006], ['right', 44.323908375023166], ['right', 45.40703925001435]]",0,cut off by trial end,"[1.0495993749937043, 1.0899884999962524, 1.2030978330003563, 1.3841540410066955, 0.48411650001071393]","[0.5033578750153538, 1.5286736250272952, 2.5627747920225374, 3.7208172920218203, 5.070776458014734]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fe370a2d850>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a2dd60>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a2dc10>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a2d2b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a2dd00>]",28.817233875015518,35.81710549999843,"[['left', 51.34005816699937], ['right', 51.34066479202011], ['left', 51.34127166701364], ['right', 51.34186100002262], ['left', 51.42342020900105]]",0,4,99,
blue,45,0.5,0,2,2,1,cut off by trial end,[6.886668749997625],[0.4568242499954067],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fe370a03d30>],39.449798874993576,48.433879791002255,"[['down', 56.96642995902221], ['right', 63.97502750001149]]",0,cut off by trial end,"[0.7653850420028903, 0.13437445799354464, 2.206325499981176, 0.98983729199972, 0.6861912079912145]","[0.6418027909821831, 3.0958468329918105, 1.3619164990086574, 3.544704873987939, 4.50055720799719]","['left', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fe370a04400>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a04b20>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a04610>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a04580>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a04cd0>]",48.46730929100886,55.45040029101074,"[['left', 70.99150745902443], ['right', 70.99350266699912], ['left', 70.99410295899725], ['left', 70.99451495902031], ['right', 70.99507570901187]]",0,4,99,
red,45,0.5,0,3,3,0,cut off by trial end,[6.954059125011554],[0.43514562500058673],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fe3709eedc0>],60.36260495800525,69.35054654101259,"[['down', 77.87866016701446], ['right', 84.88567675001104]]",0,cut off by trial end,"[0.8771618749888148, 0.832495291979285, 0.9455948329996318, 1.1032635410083458, 1.4278137080254965]","[0.6277402080013417, 1.4374274160072673, 2.2136848329973873, 3.0581713749852497, 4.093342749984004]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fe370a046d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a04c10>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a04520>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe370a04af0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fe3709ec850>]",69.3840764159977,76.36750341599691,"[['left', 91.90802825000719], ['right', 91.90875916701043], ['left', 91.90942816701136], ['right', 91.91011437500129], ['left', 91.91074391701841]]",0,4,99,
