topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
red,45,0.5,0,0,0,0,cut off by trial end,[6.8747074590064585],[0.5161657909920905],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fcdb099d1f0>],0.026767541014123708,9.017694541020319,"[['right', 22.64371508298791]]",0,cut off by trial end,"[0.7761502079956699, 1.1816692079883069, 0.8212702499877196, 1.0125125419872347, 0.8208525420050137, 0.3830575830070302]","[0.6343237500113901, 1.3774246250104625, 2.5468068330083042, 3.3117756660212763, 4.2684162910154555, 5.034014708013274]","['left', 'right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fcdb098e790>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a3340>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a3280>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a39d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a33a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a3730>]",9.05470887501724,16.050601833005203,"[['left', 29.643496957985917], ['right', 29.644084832980298], ['left', 29.6446725409769], ['right', 29.64531070800149], ['left', 29.645872540975688], ['right', 29.690541290998226]]",0,2,99,
red,135,0.5,0,1,1,2,cut off by trial end,[6.862325166002847],[0.47776970799895935],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fcdb098d4f0>],19.66271895801765,28.650107708002906,"[['down', 35.245597624976654], ['right', 42.251591874985024]]",0,cut off by trial end,"[0.7535442919761408, 0.7758685419976246, 0.8434175830043387, 1.0686624590016436, 1.270643417024985]","[0.6940102080116048, 1.4240715829946566, 2.1665136250085197, 2.9762289579957724, 4.012232707988005]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a2ca0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a20d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a3880>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a3c10>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a3d60>]",28.683848915999988,35.68359829101246,"[['left', 49.2731001249922], ['right', 49.27376316598384], ['left', 49.274402832990745], ['right', 49.2750184579927], ['left', 49.275611249991925]]",0,2,99,
blue,135,0.5,0,2,2,3,cut off by trial end,[6.860687082982622],[0.5125336250057444],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a31f0>],39.339165375015,48.333773040998494,"[['down', 54.92213287498453], ['right', 61.92800383298891]]",0,cut off by trial end,"[0.7547167089942377, 0.929262416990241, 0.8114633749937639, 0.7866817920003086, 0.8193350420042407, 0.8887817919894587]","[0.5045739580236841, 1.2291596250142902, 2.102176625019638, 2.925853583001299, 3.6901590000197757, 4.442072875011945]","['left', 'right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fcdb098e070>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb098dd00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb098deb0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a2f10>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a21c0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09a2760>]",48.36781870800769,55.367084291006904,"[['left', 68.95646600000327], ['right', 68.95712258300046], ['left', 68.95773258298868], ['right', 68.95842566600186], ['left', 68.95886195800267], ['right', 68.95942537498195]]",0,2,99,
blue,45,0.5,0,3,3,1,cut off by trial end,[6.920344624988502],[0.42627416699542664],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fcdb098e130>],58.86349099999643,67.8503675830143,"[['down', 74.44655008299742], ['left', 81.45205579098547]]",0,cut off by trial end,"[0.8775834169937298, 1.0253545830200892, 0.7305623339780141, 0.8773470830055885, 0.6974682500003837, 0.9111818750097882]","[0.38409220799803734, 1.2492667499755044, 2.240741916000843, 2.949055707984371, 3.8142544579750393, 4.467024624987971]","['right', 'left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09dec40>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09de7f0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09ded00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09deb80>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09de5b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fcdb09de370>]",67.88424095799564,74.86699754101573,"[['right', 88.47286924999207], ['left', 88.47344116598833], ['right', 88.47404745800304], ['left', 88.47459991599317], ['right', 88.47513937499025], ['left', 88.47568391598179]]",0,2,99,
