topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
blue,135,0.5,0,0,0,3,[0.4708932089852169],[0.4172752489976119],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f8130>],0.027113874995848164,9.016799208009616,"[['left', 24.117897582997102]]",0,cut off by trial end,"[0.8112086670007557, 1.04505324998172, 1.0802705000096466, 1.2836844169942196, 0.6512076660001185]","[0.8203400830097962, 1.5978345000185072, 2.5750488330086228, 3.587858208018588, 4.769967917003669]","['right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f7d60>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520c400>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520c8b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520ca90>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520c9d0>]",9.050034540996421,16.03442495802301,"[['right', 31.11951470799977], ['left', 31.120284707983956], ['right', 31.120857667003293], ['left', 31.121421416988596], ['right', 31.121976750000613]]",0,1,99,
blue,45,0.5,0,1,1,1,[3.195067916007247],[0.5245621249778196],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f84f0>],19.7306654160202,28.716667083004722,"[['down', 36.794148041983135], ['right', 43.799789082986536]]",0,cut off by trial end,"[0.8908250409876928, 1.0584960840060376, 0.8662259590055328, 1.034783666022122, 1.0350594159972388]","[0.5713405830028933, 1.4493651239899918, 2.473720248992322, 3.2721170829900075, 4.294660457991995]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520d6a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520dca0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520dd30>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520d280>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520dd00>]",28.750231958023505,35.75004975000047,"[['left', 50.81923770799767], ['right', 50.81981362498482], ['left', 50.82040825000149], ['right', 50.82096216699574], ['left', 50.82151283300482]]",0,1,99,
red,135,0.5,0,2,2,2,[2.3174306669970974],[0.48337812500540167],['left'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520cc70>],39.40143983301823,48.40011204101029,"[['down', 56.464928166999016], ['left', 63.47069633298088]]",0,cut off by trial end,"[0.8875154160195962, 1.0491936249891296, 0.9883455410017632, 1.4515477500099223, 0.43843524999101646]","[0.6766103330010083, 1.5303722490207292, 2.5553249579970725, 3.500455666013295, 4.929263166006422]","['right', 'left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520c6d0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f5f40>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f5070>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f7d90>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f7c70>]",48.434715791023336,55.43363116600085,"[['right', 70.50367795798229], ['left', 70.50432329199975], ['right', 70.5049275420024], ['left', 70.50548587497906], ['right', 70.50602850000723]]",0,1,99,
red,45,0.5,0,3,3,0,[0.5169014580023941],[0.5301389160158578],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f5430>],59.07742033302202,68.06734041601885,"[['down', 76.14095608299249], ['right', 83.14685695798835]]",0,cut off by trial end,"[0.9687955419940408, 0.8801200000161771, 1.1237070840143133, 0.8437195830047131, 1.1471752089855727]","[0.5503711659985129, 1.4956457079970278, 2.3519319990009535, 3.419110457994975, 4.2069698740087915]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fb1a52071f0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f17c0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f1520>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a51f4940>, <psychopy.hardware.keyboard.KeyPress object at 0x7fb1a520d970>]",68.1004875409999,75.10033095799736,"[['left', 90.16979708298459], ['right', 90.17043687499245], ['left', 90.17104262500652], ['right', 90.17160445798072], ['left', 90.17217954198713]]",0,1,99,
