topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
red,135,0.5,0,0,0,2,cut off by trial end,[6.974804875004338],[0.46305966601357795],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a130>],0.03478254200308584,9.03354637499433,"[['right', 22.810124334006105]]",0,cut off by trial end,"[1.0922266250126995, 1.4738791669951752, 1.4302517919859383, 0.8784403750032652]","[0.6433940829883795, 1.6217852080008015, 3.061945416004164, 4.446396749990527]","['left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fdf756619a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf75661280>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf75661b20>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf75661190>]",9.06788454198977,16.06686845899094,"[['left', 29.806410749995848], ['right', 29.807035584002733], ['left', 29.80764574999921], ['right', 29.80821216700133]]",0,1,99,
red,45,0.5,0,1,1,0,cut off by trial end,[6.7986463329871185],[0.5680332499905489],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fdf7564c460>],20.404215749993455,29.40022237499943,"[['down', 36.134592667018296], ['right', 43.14194816700183]]",0,cut off by trial end,"[0.8656087080016732, 0.9227367910207249, 1.351534832996549, 1.3479693749977741, 0.4386511250049807]","[0.6635860829846933, 1.5058758329832926, 2.360782957985066, 3.6564589159970637, 4.970987332984805]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a4f0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a760>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a280>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a190>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a100>]",29.4338510420057,36.433438624982955,"[['left', 50.171339584019734], ['right', 50.17190733400639], ['left', 50.17251087501063], ['right', 50.17309987501358], ['left', 50.173642542009475]]",0,1,99,
blue,135,0.5,0,2,2,3,cut off by trial end,[6.851299291010946],[0.4941565419721883],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fdf756611c0>],40.244159166992176,49.233621624996886,"[['down', 55.97619850002229], ['right', 62.982238833996234]]",0,cut off by trial end,"[1.1924998330068775, 1.1578397499979474, 1.1456107079866342, 1.3258627090253867, 0.26923549998900853]","[0.47271158298826776, 1.6314549579983577, 2.7455382909975015, 3.8589388739783317, 5.152289332996588]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fdf756605b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568aaf0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a820>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568adf0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a700>]",49.26705291698454,56.25069316700683,"[['left', 70.00460795901017], ['right', 70.00527212501038], ['left', 70.00586570901214], ['right', 70.00641554201138], ['left', 70.17171029202291]]",0,1,99,
blue,45,0.5,0,3,3,1,cut off by trial end,[6.862447124993196],[0.45769912502146326],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fdf75660a00>],59.96792137500597,68.96698254198418,"[['down', 75.69675645901589], ['right', 82.70591829202021]]",0,cut off by trial end,"[0.9771064590022434, 1.0904907090007327, 1.3390827919938602, 1.1037918330112007, 0.48120924999238923]","[0.5829383330128621, 1.5158095830120146, 2.561373750009807, 3.84408650000114, 4.903717083012452]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fdf756300a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568aa30>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a940>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf7568a220>, <psychopy.hardware.keyboard.KeyPress object at 0x7fdf756a4670>]",69.00170200000866,76.00074304200825,"[['left', 89.73955695901532], ['right', 89.74014412501128], ['left', 89.74075416699634], ['right', 89.74130650001462], ['left', 89.74185362501885]]",0,1,99,
