topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
red,45,0.5,0,0,0,0,cut off by trial end,[5.03219983301824],[0.37742395797977224],['w'],[<psychopy.hardware.keyboard.KeyPress object at 0x7f7e7811ad30>],0.02787591697415337,7.015719458984677,"[['w', 24.033592624997254]]",1,1,99,
blue,135,0.5,0,1,1,3,cut off by trial end,"[2.308066042023711, 2.0402796659618616]","[1.1333381250151433, 3.4134639170370065]","['left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f7e7811ac10>, <psychopy.hardware.keyboard.KeyPress object at 0x7f7e78162370>]",14.272320083982777,21.265015541983303,"[['down', 33.258268791018054], ['left', 38.267558541032486], ['right', 38.26834325003438]]",0,1,99,
blue,45,0.5,0,2,2,1,cut off by trial end,"[1.696073625003919, 3.084036207990721]","[0.6489213749882765, 2.3209606249583885]","['right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f7e78162610>, <psychopy.hardware.keyboard.KeyPress object at 0x7f7e78162160>]",25.08249658398563,32.08217599999625,"[['down', 44.07113095803652], ['right', 49.076840749999974], ['left', 49.07748174999142]]",0,1,99,
red,135,0.5,0,3,3,2,cut off by trial end,"[2.4241879580076784, 2.05991350003751, 0.46412095898995176]","[0.594278291973751, 2.998508624965325, 5.018555832968559]","['left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7f7e78104a90>, <psychopy.hardware.keyboard.KeyPress object at 0x7f7e781049a0>, <psychopy.hardware.keyboard.KeyPress object at 0x7f7e78104eb0>]",35.80909624998458,42.79916904197307,"[['down', 54.797776208026335], ['left', 59.80331595800817], ['right', 59.80390262498986], ['left', 59.82860583299771]]",0,1,99,
