topColor,topOri,redOpacity,.thisRepN,.thisTrialN,.thisN,.thisIndex,CatchTrial_Flag,CatchTrial_keyDur,CatchTrial_keyRT,CatchTrial_keyName,CatchTrial_keys,CatchTrial_expTime-TrialStart,CatchTrial_expTime-TrialEnd,CatchTrial_eventKeys,CatchTrial_ButtonCheck,Flag,keyDur,keyRT,keyName,keys,expTime-TrialStart,expTime-TrialEnd,eventKeys,ButtonCheck,Session,Participant,
red,45,0.5,0,0,0,0,cut off by trial end,[6.863973542000167],[0.5418838749756105],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fa3c06b9850>],0.025730166991706938,9.016740582999773,"[['right', 20.424068749998696]]",1,cut off by trial end,"[1.0000371250207536, 1.447994208021555, 1.3080636670347303, 1.0760011660167947]","[0.6342317080125213, 1.6223522080108523, 3.030359915981535, 4.294323583017103]","['left', 'right', 'left', 'right']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fa3c079eb50>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa3c079e520>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa3c079ed90>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa3c0796d90>]",11.298253167013172,18.285130792006385,"[['down', 24.6632528330083], ['left', 29.669970165996347], ['right', 29.670565958018415], ['left', 29.67118737497367], ['right', 29.671759165998083]]",0,1,99,
blue,45,0.5,0,1,1,1,cut off by trial end,[6.873018417041749],[0.5660287489881739],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fa3c0796640>],22.61358183302218,31.600137792003807,"[['down', 35.97844754101243], ['right', 42.98559524997836]]",1,cut off by trial end,"[0.6399910830077715, 0.8160370839759707, 0.5919712080503814, 0.7440362090128474, 1.9321980000240728]","[0.6851357909617946, 1.313113373995293, 2.093198707967531, 2.6531729989801534, 3.345166248967871]","['left', 'right', 'left', 'right', 'left']","[<psychopy.hardware.keyboard.KeyPress object at 0x7fa3c079e640>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa3c079ea00>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa3c079e5b0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa3c079e1f0>, <psychopy.hardware.keyboard.KeyPress object at 0x7fa3c079e160>]",32.41651670803549,39.399986875010654,"[['down', 45.78265966597246], ['left', 50.78820499998983], ['right', 50.788787040975876], ['left', 50.78942158300197], ['right', 50.789982124988455], ['left', 50.79057987499982]]",0,1,99,
,,,,,,,cut off by trial end,[6.748935833980795],[0.6666128330398351],['right'],[<psychopy.hardware.keyboard.KeyPress object at 0x7fa3c07a9220>],43.059488208033144,52.050209083012305,"[['down', 56.42556608299492], ['right', 63.43136966601014]]",,,,,,,,,,,,,
